Genotype,Length_mm,Width_mm,Area_mm_2,GW_mg
cv1,6.69,3.4,17.26,42.93
cv1,6.72,3.58,18.48,46.98
cv1,6.71,3.78,20.34,53.32
cv1,6.31,3.41,16.51,40.5
cv1,5.72,2.81,12.1,26.88
cv1,6.85,3.62,19.77,51.37
cv1,6.82,3.75,19.56,50.64
cv1,6.61,3.81,19.34,49.92
cv1,5.91,3.06,13.54,31.16
cv1,5.76,3.12,12.91,29.26
cv1,6.67,2.81,13.9,32.27
cv1,6.57,3.79,19.07,48.99
cv1,6.62,3.95,20.27,53.11
cv1,6.65,3.55,18.07,45.62
cv1,6.92,3.78,20.82,55.02
cv1,5.99,3.59,15.8,38.23
cv1,5.81,2.89,13.09,29.8
cv1,6.13,3.02,14.26,33.39
cv1,6.91,3.51,19.14,49.23
cv1,6.13,3.81,17.77,44.62
cv1,6.33,3.49,17.06,42.29
cv1,6.01,3.11,14.1,32.89
cv1,6.6,3.02,15.58,37.52
cv1,5.87,3.28,14.59,34.4
cv1,6.23,3.14,14.76,34.93
cv1,6.49,3.81,19.05,48.93
cv1,7.05,3.94,21.51,57.41
cv1,5.87,2.51,11.06,23.86
cv1,6.53,2.92,13.83,32.05
cv1,4.74,3.24,11.24,24.39
cv1,6.53,3.76,18.66,47.61
cv1,6.28,4.14,19.64,50.92
cv1,5.91,2.83,12.5,28.05
cv1,6.87,3.73,19.6,50.8
cv1,6.32,3.29,15.06,35.87
cv1,6.42,3.19,15.88,38.48
cv1,6.61,3.6,17.98,45.33
cv1,6.79,3.91,20.87,55.17
cv1,6.17,3.48,15.83,38.31
cv1,6.45,3.53,17.57,43.95
cv1,6.95,3.77,20.72,54.65
cv1,5.78,3.19,14.31,33.52
cv1,6.32,3.5,17.06,42.29
cv1,5.91,3.3,13.86,32.13
cv1,6.11,3.11,13.96,32.46
cv1,6.07,2.99,12.95,29.4
cv1,6.13,3.39,15.74,38.03
cv1,6.39,3.63,17.98,45.33
cv1,6.7,4.16,20.53,54
cv1,6.39,3.02,14.88,35.31
cv1,6.78,3.69,19.5,50.43
cv1,7.09,3.62,19.86,51.68
cv1,5.2,3.88,15.47,37.15
cv1,6.81,3.62,19.36,49.98
cv1,6.79,3.78,19.55,50.61
cv1,5.38,2.79,11.49,25.1
cv1,5.75,2.55,11.05,23.83
cv1,6.87,3.62,19.21,49.47
cv1,6.13,3.08,15.27,36.54
cv1,5.46,2.59,10.93,23.48
cv1,6.13,3.74,17.94,45.18
cv1,6.83,3.73,18.43,46.84
cv1,6.05,2.98,13.94,32.4
cv1,6.08,3.7,17.11,42.46
cv1,6.79,4.02,20.86,55.14
cv1,6.53,3.89,18.94,48.54
cv1,6.97,3.49,18.48,46.98
cv1,6.07,3.16,15.1,35.98
cv1,6.69,3.62,18.23,46.15
cv1,5.54,2.57,11.07,23.88
cv1,5.36,2.92,11.51,25.15
cv1,6.64,3.74,19.34,49.92
cv1,6.02,3.53,16.84,41.57
cv1,6.26,3.26,13.98,32.51
cv1,6.39,3.29,16.13,39.27
cv1,6.31,3.13,15.08,35.92
cv1,6.4,3.55,17.18,42.67
cv1,6.5,3.5,16.61,40.82
cv1,6.87,3.03,15.28,36.57
cv1,6.98,3.51,18.55,47.22
cv1,5.96,3.53,15.28,36.57
cv1,6.04,3.99,16.68,41.05
cv1,6.53,3.87,19.84,51.61
cv1,5.96,3.15,14.42,33.88
cv1,5.32,2.97,11.99,26.54
cv1,6.45,3.66,18.48,46.98
cv1,6.46,2.78,13.59,31.32
cv1,6.61,3.8,19.59,50.76
cv1,6.69,3.76,19.87,51.71
cv1,6.21,4.01,19.63,50.89
cv1,5.39,2.85,11.4,24.85
cv1,6.98,3.81,20.73,54.68
cv1,6.57,3.46,16.79,41.42
cv1,6.49,3.27,16,38.85
cv1,6.69,3.83,19.57,50.67
cv1,6.2,2.86,13.7,31.65
cv1,4.7,3.84,12.73,28.74
cv1,6,3.18,14.62,34.48
cv1,7.05,4.24,23.24,63.6
cv1,6.47,3.79,17.88,44.97
cv1,6.04,3.69,17.05,42.26
cv1,6.88,3.96,22.07,59.41
cv1,6.47,3.57,17.88,45
cv1,6.73,4.17,22.44,60.73
cv1,6.63,4.04,20.71,54.61
cv1,7.03,3.91,20.35,53.39
cv1,5.96,3.67,15.64,37.72
cv1,5.61,2.81,11.8,26
cv1,6.14,3.25,15.1,36.01
cv1,6.97,3.67,19.96,52.01
cv1,5.78,3.44,15.05,35.84
cv1,6.32,3.28,16.1,39.19
cv1,7.32,3.51,17.4,43.39
cv1,6.47,3.44,17.39,43.36
cv1,6.65,3.27,16.56,40.67
cv1,5.82,3.13,13.95,32.43
cv1,6.85,4.08,21.75,58.28
cv1,7.15,3.32,18.02,45.45
cv1,6.26,3.35,15.79,38.17
cv1,6.44,3.5,17.03,42.17
cv1,6.4,3.49,16.35,39.99
cv1,5.78,2.93,12.82,29
cv1,6.83,3.84,20.29,53.17
cv1,5.8,3,12.96,29.42
cv1,6.15,3.01,14.17,33.11
cv1,6.57,3.57,17.79,44.68
cv1,6.43,3.83,18.78,48
cv1,6.58,4.07,20.87,55.17
cv1,5.87,3.14,14.12,32.95
cv1,6.65,3.64,18.59,47.37
cv1,5.78,2.82,12.29,27.42
cv1,6.84,3.61,19.3,49.77
cv1,7.09,3.84,20.79,54.89
cv1,6.55,3.4,17.62,44.12
cv1,6.34,3.33,16.71,41.13
cv1,6.08,3.59,16.04,38.99
cv1,6.59,3.35,17.29,43.04
cv1,5.93,3.17,14.09,32.87
cv1,6.75,3.45,18.23,46.15
cv1,6.69,4.29,22.84,62.16
cv1,7.11,3.76,20.85,55.11
cv1,5.72,2.83,11.83,26.08
cv1,6.1,3.49,16.16,39.36
cv1,6.3,3.72,18.32,46.45
cv1,6.62,3.83,19.79,51.43
cv1,5.57,3.06,12.51,28.08
cv1,6.79,3.98,21.61,57.78
cv1,6.23,3.39,16.25,39.64
cv1,6.44,3.28,15.95,38.71
cv1,7.14,3.93,21.92,58.88
cv1,5.75,2.94,13.57,31.27
cv1,6.57,2.95,13.59,31.32
cv1,5.66,2.86,11.04,23.81
cv1,6.02,3.06,14.24,33.3
cv1,6.74,3.93,20.42,53.6
cv1,6.42,3.49,17.43,43.51
cv1,6.64,4.16,20.7,54.58
cv1,6.16,3.23,15.29,36.59
cv1,6.24,3.12,13.32,30.49
cv1,6.65,3.71,19.77,51.37
cv1,6.29,3.63,17.64,44.18
cv1,6.21,3.67,17.1,42.43
cv1,5.35,2.98,11.66,25.59
cv1,6.21,3.63,17.29,43.04
cv1,5.78,3.09,13.55,31.19
cv1,5.25,3,12.01,26.59
cv1,6.06,3.66,15.9,38.54
cv1,5.77,3.09,13.09,29.8
cv1,6.28,2.86,13.66,31.54
cv1,5.6,2.95,12.52,28.1
cv1,6.98,4,21.35,56.88
cv1,5.62,2.81,11.89,26.26
cv1,6.26,3.8,18.54,47.19
cv1,5.87,3.39,15.67,37.8
cv1,6.26,3.75,17.91,45.09
cv1,6.13,3.8,18,45.39
cv1,6.13,2.9,13.52,31.11
cv1,6.53,3.3,16.87,41.68
cv1,5.94,2.99,13.4,30.76
cv1,5.36,2.57,10.37,21.91
cv1,4.95,2.81,10.57,22.48
cv1,5.78,2.73,11.74,25.82
cv1,6.16,3.58,16.77,41.34
cv1,5.67,2.05,8.4,16.6
cv1,5.98,2.95,13.66,31.54
cv1,5.67,2.6,11.68,25.64
cv1,6.85,3.46,18.37,46.63
cv1,6.57,3.94,20.28,53.14
cv1,5.91,4.17,17.59,44.04
cv1,6.92,4.41,23.79,65.59
cv1,6.86,3.33,17.01,42.12
cv1,5.71,3.19,13.68,31.59
cv1,6.61,3.69,18.04,45.53
cv1,5.76,3.4,14.41,33.85
cv1,6.14,3.8,17.43,43.51
cv1,6.57,3.73,19.32,49.83
cv1,6.31,3.98,19.28,49.71
cv1,6.55,3.74,18.7,47.73
cv1,6.52,3.44,17.11,42.46
cv1,6.32,3.3,15.98,38.79
cv1,5.98,3.35,15.05,35.84
cv1,6.24,3.28,14.4,33.8
cv1,6.34,4.04,18.41,46.75
cv1,6.23,3,13.54,31.16
cv1,6.66,4.07,20.92,55.36
cv1,6.8,3.91,21.01,55.66
cv1,6.79,3.63,18.62,47.46
cv1,6.39,3.74,18.82,48.15
cv1,7.21,3.85,21.67,58
cv1,6.2,3.89,16.52,40.53
cv1,6.2,3.38,15.77,38.11
cv1,6.57,3.82,19.74,51.28
cv1,4.05,1.81,5.38,9.22
cv1,5.94,3.21,14.65,34.59
cv1,5.06,2.65,10.08,21.13
cv1,6.55,3.58,18.48,46.98
cv1,6.79,3.76,19.87,51.71
cv1,6.55,3.51,17.66,44.27
cv1,6.76,3.44,18.1,45.71
cv1,5.32,2.75,11.08,23.93
cv1,6.5,4.11,19.5,50.46
cv1,6.78,3.56,19,48.75
cv1,6.09,2.9,13.66,31.54
cv1,6.42,3.73,18.9,48.42
cv1,6.42,3.61,17.39,43.36
cv1,6.57,3.62,17.43,43.51
cv1,5.95,3.39,15.82,38.28
cv1,6.06,3.5,15.97,38.76
cv1,6.9,3.69,20.1,52.5
cv1,6.32,3.41,14.29,33.47
cv1,6.55,3.84,20.01,52.19
cv1,6.11,3,13.32,30.52
cv1,6.57,3.6,17.88,45
cv1,6.16,3.45,16.51,40.5
cv1,6.36,3.63,17.53,43.83
cv1,6.49,3.87,19.56,50.64
cv1,6.41,3.45,17.49,43.69
cv1,6.32,3.78,18.62,47.46
cv1,6.39,3.85,19.17,49.32
cv1,6.61,3.81,19.36,49.98
cv1,7,3.97,22.22,59.95
cv1,5.22,2.4,9.62,19.86
cv1,5.78,3.17,13.83,32.05
cv1,4.33,2.39,7.77,14.98
cv1,5.78,2.95,12.83,29.03
cv1,6.5,3.6,18.24,46.18
cv1,5.59,3.09,13.35,30.6
cv1,5.67,2.65,11,23.71
cv1,6.64,3.59,18.21,46.1
cv1,6.03,2.75,12.85,29.08
cv1,6.13,3.77,16.04,38.99
cv1,6.65,3.62,18.37,46.63
cv1,4.76,2.4,8.32,16.4
cv1,5.96,2.87,13.23,30.22
cv1,5.87,3.17,14.69,34.7
cv1,6.02,2.97,13.3,30.44
cv1,5.75,3.17,14.03,32.68
cv1,6.09,3.5,16.73,41.22
cv1,5.67,2.76,11.71,25.74
cv1,6.29,3.33,15.98,38.79
cv1,5.72,2.61,10.98,23.63
cv1,6.49,3.53,18.1,45.71
cv1,7.35,3.85,22.06,59.38
cv1,6.56,4.26,19.79,51.43
cv1,6.55,3.69,18.89,48.39
cv1,6.36,2.91,14.02,32.65
cv1,5.84,2.58,10.75,22.98
cv1,6.23,3.08,14.86,35.26
cv1,4.73,2.33,8.07,15.73
cv1,6.1,3.23,14.66,34.62
cv1,5.61,2.72,11.35,24.69
cv1,6.26,3.89,17.77,44.62
cv1,5.36,2.62,10.55,22.43
cv1,6.3,3.24,16.34,39.96
cv1,6.73,3.52,17.57,43.98
cv1,6.13,2.63,11.7,25.69
cv1,6.64,3.36,17.31,43.1
cv1,5.63,3.13,13.76,31.83
cv1,5.72,2.97,13.24,30.28
cv1,6.75,3.93,20.77,54.83
cv1,5.44,2.54,9.84,20.44
cv1,6.68,3.14,15.58,37.52
cv1,6.62,2.55,12.71,28.68
cv1,5.46,2.77,11.32,24.62
cv1,5.72,3.15,13.48,31
cv1,5.59,3.06,13.26,30.33
cv1,5.78,2.56,10.85,23.26
cv1,5.26,2.1,8.38,16.56
cv1,3.7,2.31,6.15,11.01
cv1,5.35,2.74,11.25,24.42
cv1,5.47,2.61,10.51,22.31
cv1,6.49,3.63,18.15,45.89
cv1,5.68,2.85,12.26,27.35
cv1,6.49,2.96,14.79,35.04
cv1,6.31,3.42,16.84,41.57
cv1,5.89,3.24,14.51,34.15
cv1,6.42,3.61,16.42,40.22
cv1,5.78,3.11,13.17,30.06
cv1,6.5,3.59,17.9,45.06
cv1,6.74,3.33,17.39,43.36
cv1,5.51,2.82,11.57,25.33
cv1,5.56,2.89,11.86,26.18
cv1,6.13,3.35,15.56,37.46
cv1,6.07,3,13.3,30.44
cv1,6.34,3.49,17.14,42.55
cv1,6.41,3.43,16.82,41.51
cv1,5.91,3.26,14.88,35.31
cv1,6.59,2.73,14.18,33.14
cv1,6.26,3.17,14.34,33.63
cv1,6.29,3.16,15.38,36.87
cv1,6.7,3.7,18.76,47.94
cv1,6.24,3.06,14.3,33.49
cv1,6.17,3.51,16.07,39.08
cv1,6.82,3.43,17.46,43.6
cv1,6.86,3.36,17.61,44.09
cv1,5.81,3.53,14.99,35.65
cv1,5.91,3.16,14.25,33.33
cv1,6.76,3.72,19.37,50.01
cv1,5.6,2.73,11.57,25.33
cv1,5.4,3.02,12.65,28.5
cv1,5.66,2.02,8.22,16.12
cv1,6.43,3.22,16.19,39.47
cv1,5.43,3.56,14.09,32.87
cv1,4.88,1.91,7.37,13.98
cv1,6.79,3.6,19.2,49.44
cv1,5.39,2.9,11.4,24.85
cv1,5.57,3.1,12.89,29.21
cv1,6.13,3.42,16.44,40.27
cv1,5.72,2.68,11.47,25.03
cv1,6.47,3.41,15.84,38.34
cv1,5.09,2.25,8.16,15.98
cv1,5.14,2.92,11.29,24.52
cv1,4.38,1.96,5.79,10.16
cv1,6.36,3.71,17.64,44.21
cv1,6.79,3.48,17.86,44.92
cv1,5.71,2.42,10.43,22.09
cv1,6.73,3.64,18.96,48.6
cv1,6.24,3.43,16.55,40.62
cv1,5.8,2.82,12.42,27.82
cv1,6.13,3.2,15.08,35.92
cv1,6.44,3.5,16.53,40.56
cv1,5.64,2.67,11.16,24.14
cv1,5.01,2.1,7.78,15.01
cv1,5.72,3.33,14.71,34.76
cv1,7.12,3.87,18.07,45.62
cv1,6.64,3.36,17.72,44.45
cv1,5.96,3.34,14.75,34.9
cv1,6.03,3.35,15.26,36.51
cv1,6.95,3.72,20.31,53.23
cv1,6.61,3.96,19.91,51.86
cv1,5.53,2.92,12.18,27.11
cv1,5.39,3,12.14,26.98
cv1,6.74,3.15,15.69,37.86
cv1,5.33,2.6,10.4,22.01
cv1,4.57,2.67,9.19,18.69
cv1,6.43,3.48,17.41,43.45
cv1,6.69,3.72,19.2,49.44
cv1,4.86,2.06,7.3,13.8
cv1,6.49,3.68,18.85,48.24
cv1,6.57,3.26,16.41,40.19
cv1,6.62,3.64,16.49,40.45
cv1,6.92,3.39,18,45.39
cv1,6.73,3.63,18.98,48.69
cv1,6.57,3.41,17.05,42.26
cv1,5.91,2.98,13.28,30.38
cv1,5.91,3.27,14.51,34.15
cv1,5.94,3.35,15.48,37.21
cv1,5.48,2.63,10.75,22.98
cv1,6.26,3.16,15.47,37.15
cv1,6.43,3.8,19.16,49.29
cv1,5.48,1.99,8.16,15.98
cv1,6.13,3.52,16.62,40.85
cv1,6.28,3.62,17.8,44.74
cv1,6.21,2.78,12.65,28.5
cv1,6.08,3.11,14.35,33.66
cv1,6.79,3.57,18.69,47.7
cv1,5.26,2.01,7.61,14.56
cv1,5.88,2.7,11.74,25.82
cv1,5.91,3.73,16.35,39.99
cv1,6.42,3.26,16.56,40.67
cv1,4.23,2.12,6.92,12.86
cv1,5.53,2.6,10.7,22.86
cv1,6.5,3.91,19.34,49.89
cv1,5.67,3.24,14.16,33.06
cv1,6.02,3.1,14.15,33.03
cv1,6.81,3.2,16.25,39.67
cv1,5.46,3.11,13.16,30.01
cv1,6.31,3.47,17.1,42.43
cv1,6.28,3.91,17.73,44.5
cv1,5.91,3.07,13.45,30.89
cv1,5.98,2.72,12.7,28.63
cv1,5.49,3,12.26,27.35
cv1,5.65,2.26,9.23,18.78
cv1,6.13,3.26,15.54,37.38
cv1,5.67,2.93,12.56,28.24
cv1,6.21,3.01,12.25,27.32
cv1,6.09,3.14,13.76,31.83
cv1,6.79,3.73,19.45,50.28
cv1,6.49,3.63,18.4,46.72
cv1,6.13,3.02,14.81,35.09
cv1,6.16,3.44,15.4,36.93
cv1,6,3.23,15.22,36.37
cv1,5.12,2.69,10.62,22.61
cv1,6.55,3.36,16.53,40.56
cv1,6.14,3.32,15.11,36.04
cv1,6.55,3.75,18.7,47.73
cv1,5.78,2.8,11.45,24.97
cv1,6.55,4.01,19.19,49.38
cv1,4.42,2.41,7.92,15.37
cv1,6.42,3.56,16.96,41.97
cv1,6.62,4.14,21.34,56.81
cv1,6.67,2.81,13.01,29.58
cv1,5.98,3.37,15.3,36.62
cv1,5.54,2.55,10.46,22.18
cv1,5.81,2.76,12.39,27.74
cv1,5.3,2.93,11.78,25.95
cv1,5.91,3.15,14.17,33.11
cv1,6.29,3.37,16.18,39.45
cv1,5.65,2.56,10.33,21.81
cv1,6.45,3.67,17.99,45.36
cv1,6.82,3.56,18.16,45.92
cv1,6.07,3.31,15.1,36.01
cv1,4.97,2.27,8.17,16
cv1,6.74,3.54,18.99,48.72
cv1,5.98,3.48,15.18,36.26
cv1,7.06,3.68,20.53,54
cv1,6.07,3.03,14.05,32.73
cv1,6.85,3.3,17.23,42.84
cv1,5.91,2.92,13.12,29.9
cv1,5.76,2.3,9.85,20.49
cv1,6.19,3.31,15.83,38.31
cv1,7.28,3.48,18.32,46.45
cv1,6.79,3.65,18.43,46.84
cv1,4.1,1.93,5.73,10.01
cv1,5.57,3.61,15.19,36.29
cv1,5.35,2.63,10.89,23.38
cv1,6.82,3.19,16.66,40.99
cv1,6.41,2.82,14.25,33.36
cv1,6.61,4.1,20.27,53.11
cv1,6.79,3.81,20.5,53.88
cv1,6.45,4.13,20.65,54.4
cv1,3.25,1.77,3.95,6.13
cv1,5.84,2.69,11.78,25.92
cv1,5.84,2.62,11.36,24.72
cv1,6.9,4.16,21.06,55.85
cv1,6.04,3.36,15.46,37.13
cv1,6.13,3.13,14.43,33.91
cv1,5.87,2.92,11.5,25.13
cv1,6.3,3.7,18.23,46.15
cv1,6.16,3.61,17.21,42.78
cv1,5.24,2.3,9,18.17
cv1,6.28,3.38,16.14,39.3
cv1,5.19,2.67,10.6,22.56
cv1,6.55,3.73,18.73,47.82
cv1,6.26,3.06,14.71,34.79
cv1,6.26,3.46,16.92,41.83
cv1,6.28,3.62,17.4,43.39
cv1,6.62,3.63,18.71,47.76
cv1,5.83,2.62,10.9,23.41
cv1,3.54,1.89,5.13,8.65
cv1,6.01,3.96,18.03,45.5
cv1,5.91,3.17,14.67,34.65
cv1,6.53,4.54,21.17,56.22
cv1,6.57,3.83,19.59,50.76
cv1,6.63,3.72,17.88,44.97
cv1,6.91,3.32,17.41,43.42
cv1,6.36,3.74,18.95,48.57
cv1,6.44,3.65,18.95,48.57
cv1,5.87,3.4,15.32,36.68
cv1,7.15,3.84,21.58,57.69
cv1,6.67,3.68,18.56,47.25
cv1,7.11,3.71,19.98,52.1
cv1,7,3.46,18.64,47.52
cv1,6.62,3.02,15.61,37.6
cv1,6.85,4.35,22.28,60.13
cv1,6.9,4.59,24.33,67.56
cv1,6.37,3.58,17.93,45.15
cv1,6.46,3.6,17.25,42.9
cv1,6.01,3.88,17.18,42.7
cv1,5.66,3.68,15.28,36.57
cv1,6.16,3.58,16.86,41.62
cv1,6.19,3.22,14.73,34.84
cv1,6.42,3.96,18.88,48.36
cv1,6.8,3.99,21.48,57.31
cv1,6.32,3.55,17.4,43.39
cv1,6.23,3.86,18.11,45.77
cv1,6.37,3.58,17.7,44.39
cv1,5.76,2.28,9.96,20.78
cv1,6.48,3.96,20.03,52.25
cv1,6.8,3.81,20.35,53.39
cv1,6.07,3.7,16.95,41.94
cv1,6.4,2.71,12.79,28.92
cv1,6.5,3,15.01,35.7
cv1,6.56,3.6,18.36,46.6
cv1,5.01,2.68,10.51,22.31
cv1,6.62,4.13,21.71,58.12
cv1,6.28,3.55,17.2,42.75
cv1,6.62,4.07,20.48,53.81
cv1,6.68,3.4,17.34,43.19
cv1,7.07,3.51,18.1,45.71
cv1,6.65,2.79,13.78,31.89
cv1,6.72,3.97,20.78,54.86
cv1,5.81,3,12.08,26.83
cv1,6,3.51,16.16,39.36
cv1,7.04,3.54,17.96,45.27
cv1,5.75,3.49,14.98,35.62
cv1,6.97,4.1,23.05,62.89
cv1,6.9,3.69,19.34,49.92
cv1,6.11,3.21,15.05,35.84
cv1,6.61,3.63,17.72,44.45
cv1,6.97,3.99,22.73,61.75
cv1,6.44,3.33,16.34,39.96
cv1,6.62,4.07,21.31,56.72
cv1,7.11,3.7,20.5,53.88
cv1,6.2,3.75,18.09,45.68
cv1,6.62,3.94,19.83,51.58
cv1,7.07,3.78,21.53,57.5
cv1,6.59,3.56,18.47,46.96
cv1,7.1,3.71,20.35,53.35
cv1,6.69,3.81,19.79,51.43
cv1,6.97,3.83,21.33,56.78
cv1,6.73,3.28,16.95,41.94
cv1,6.86,3.37,17.47,43.63
cv1,6.21,3.24,15.42,37.01
cv1,6.31,3.55,17.31,43.1
cv1,6.97,3.95,20.55,54.06
cv1,7.21,3.88,21.71,58.12
cv1,6.61,4.04,20.4,53.54
cv1,5.61,2.42,9.73,20.15
cv1,6.75,3.91,20.75,54.77
cv1,6.15,2.69,12.87,29.16
cv1,6.73,3.91,20.93,55.39
cv1,6.65,4.23,21.59,57.72
cv1,6.45,4.01,20.68,54.52
cv1,6.07,3.13,13.91,32.3
cv1,6.71,3.55,18.83,48.18
cv1,6.17,3.69,18.04,45.53
cv1,6.17,3.09,14.61,34.46
cv1,6.92,4.17,21.48,57.31
cv1,6.2,3.13,14.56,34.29
cv1,6.5,3.77,18.82,48.15
cv1,6.67,3.55,18.75,47.91
cv1,7.15,4.22,23.79,65.59
cv1,6.7,3.62,18.26,46.24
cv1,6.49,4.07,20.4,53.54
cv1,6.79,3.95,21.15,56.16
cv1,6.33,3.62,17.03,42.17
cv1,5.65,3.56,15.12,36.06
cv1,6.74,3.52,18.73,47.82
cv1,7.03,3.96,21.62,57.81
cv1,6.11,3.16,14.61,34.46
cv1,6.92,3.26,16.92,41.83
cv1,6.97,4.24,22.72,61.72
cv1,6.11,2.95,13.96,32.46
cv1,6.61,3.5,17.41,43.42
cv1,6.38,3.25,15.96,38.73
cv1,6.19,3.56,17.28,43.02
cv1,6.73,4.1,22.22,59.95
cv1,6.28,3.52,17.19,42.72
cv1,4.91,1.93,6.37,11.53
cv1,6.49,3.81,19.34,49.89
cv1,5.46,3.51,14.46,33.99
cv1,6.97,3.71,20.3,53.2
cv1,6.7,3.92,20.29,53.17
cv1,5.72,3.43,14.63,34.54
cv1,6.62,3.89,19.68,51.07
cv1,6.39,3.31,16.74,41.25
cv1,5.66,2.72,11.47,25.03
cv1,6.37,3.85,19.51,50.49
cv1,6.73,3.71,19.35,49.95
cv1,6.87,3.83,19.92,51.89
cv1,6.55,3.58,18.08,45.65
cv1,6.94,3.98,21.25,56.5
cv1,6.72,3.65,19.66,51.01
cv1,6.48,4,19.61,50.83
cv1,6.55,3.49,18.12,45.8
cv1,5.86,2.74,11.96,26.46
cv1,7.24,3.79,21.54,57.53
cv1,6.59,3.73,18.52,47.13
cv1,6.81,3.61,19.98,52.1
cv1,6.11,3.03,14.4,33.8
cv1,6.31,3.55,17.29,43.04
cv1,7.22,3.54,19.73,51.22
cv1,6.53,3.53,17.48,43.66
cv1,6.48,3.81,18.35,46.57
cv1,6.73,3.34,17.57,43.95
cv1,6.74,3.5,18.06,45.59
cv1,6.19,3.97,18.52,47.13
cv1,6.67,3.81,19.84,51.61
cv1,6.84,3.62,19.21,49.47
cv1,6.55,3.08,14.97,35.59
cv1,6.13,3.71,17.12,42.49
cv1,6.65,3.34,17.2,42.75
cv1,6.26,3.57,17.6,44.07
cv1,6.13,3.12,13.19,30.12
cv1,7.02,3.95,21.54,57.53
cv1,6.43,3.87,18.97,48.66
cv1,6.25,3.33,16.14,39.3
cv1,6.55,3.05,15.01,35.7
cv1,6.34,3.42,16.66,40.99
cv1,5.95,2.14,9.08,18.4
cv1,7.39,4.18,23.73,65.36
cv1,5.69,2.68,11.51,25.15
cv1,6.13,3.22,14.81,35.09
cv1,6.04,3.26,15.28,36.57
cv1,6.63,3.72,18.83,48.18
cv1,6.15,3.31,15.11,36.04
cv1,6.84,3.94,21.18,56.25
cv1,5.23,1.88,7.03,13.12
cv1,6.28,3.39,15.89,38.51
cv1,5.82,3.04,13.45,30.89
cv1,5.43,2.8,11.08,23.93
cv1,6.17,3.92,18.56,47.25
cv1,6.61,3.34,16.93,41.86
cv1,7.15,3.92,22.42,60.64
cv1,6.57,3.49,16.25,39.64
cv1,6.32,3.53,16.2,39.5
cv1,5.8,2.61,11.34,24.67
cv1,7.22,3.93,22.01,59.19
cv1,6.39,3.65,17.84,44.86
cv1,6.15,3.85,17.97,45.3
cv1,6.26,3.51,16.88,41.71
cv1,6.8,3.82,20.58,54.18
cv1,6.65,3.64,19.2,49.44
cv1,6.98,3.82,21.3,56.69
cv1,5.67,3.19,12.99,29.5
cv1,6.38,3.74,17.82,44.8
cv1,6.5,3.61,18.26,46.27
cv1,6.57,3.43,17.4,43.39
cv1,6.47,3.46,17.12,42.49
cv1,6.33,3.71,18.19,46.04
cv1,6.48,3.55,18.06,45.59
cv1,6.9,3.85,20.73,54.68
cv1,6.57,3.6,18.44,46.87
cv1,6.61,3.64,18.49,47.01
cv1,6.24,2.8,13.65,31.51
cv1,6.83,4.08,21,55.63
cv1,6.85,4.1,21.74,58.22
cv1,5.55,2.83,11.39,24.82
cv1,5.36,2.74,10.96,23.58
cv1,6.16,3.45,16.77,41.34
cv1,6.24,3.57,17.2,42.75
cv1,6.46,4.1,19.78,51.4
cv1,6.13,2.99,14.11,32.92
cv1,6.31,3.75,18.11,45.77
cv1,6.32,3.3,15.86,38.39
cv1,6.76,3.34,16.34,39.96
cv1,6.99,3.26,16.4,40.13
cv1,5.68,2.76,11.54,25.26
cv1,6.61,4.4,20.82,55.02
cv1,5.95,3.32,15.08,35.92
cv1,7.17,4.11,23.04,62.86
cv1,6.9,3.47,18.61,47.43
cv1,6.85,3.19,16.95,41.91
cv1,6.53,3.59,18.51,47.1
cv1,6,3.48,15.84,38.34
cv1,6.92,3.91,20.04,52.28
cv1,6.15,3.6,17.57,43.95
cv1,5.91,3.44,15.35,36.79
cv1,6.65,3.9,19.94,51.95
cv1,6.45,3.82,19.02,48.81
cv1,6.26,3.75,17.73,44.5
cv1,6.45,3.88,18.96,48.63
cv1,6.46,3.81,18.88,48.33
cv1,6.21,3.15,14.86,35.23
cv1,6.55,3.45,17.46,43.6
cv1,6.35,3.22,15.37,36.85
cv1,5.72,2.54,10.26,21.62
cv1,6.89,3.58,19.69,51.1
cv1,6.68,3.62,18.17,45.95
cv1,6.55,3.27,17.04,42.23
cv1,5.87,2.78,12.47,27.97
cv1,6.81,3.52,19.5,50.46
cv1,6.82,3.66,19.47,50.34
cv1,5.98,3.29,15.07,35.9
cv1,6.2,3.53,15.02,35.76
cv1,6.35,3.18,15.18,36.26
cv1,5.48,3.21,13.17,30.06
cv1,6.57,3.86,20.12,52.59
cv1,6.19,3.53,16.8,41.45
cv1,6.48,3.09,14.63,34.51
cv1,6.45,3.69,19.13,49.2
cv1,7.11,4.03,22.47,60.83
cv1,6.63,3.93,18.2,46.07
cv1,7.09,3.78,20.97,55.54
cv1,5.93,2.96,13.05,29.69
cv1,6.43,3.71,18.63,47.49
cv1,6.92,3.85,21.08,55.91
cv1,6.54,3.46,18.16,45.92
cv1,5.56,3.15,13.38,30.68
cv1,6.72,3.91,20.5,53.88
cv1,5.59,2.84,12.26,27.35
cv1,6.87,4.09,20.89,55.23
cv1,5.7,3.66,15.16,36.18
cv1,6.43,3.72,18.57,47.28
cv1,6.43,3.63,17.88,45
cv1,6.82,3.95,20.78,54.86
cv1,6.07,3.8,18.08,45.65
cv1,6.73,3.94,19.68,51.07
cv1,6.26,3.17,14.4,33.8
cv1,6.55,3.65,18.65,47.58
