genotype,height,spike_weight,disease_spot,heat_tolerance,region,yield
CV1,118.5,33.92,0,no,Mid_West,9842.80485
CV1,105.5,37.73,0,no,Test_field,5374.1167
CV2,109.5,26.07,1,yes,Test_field,38222.09327
CV1,85.5,33.88,0,no,Test_field,11459.13485
CV1,86.5,30.59,2,no,North,24036.18019
CV1,118.5,25.80,1,no,Mid_East,9837.525
CV2,113.5,39.43,1,no,Mid_West,8319.40875
CV2,85.5,25.46,0,no,Mid_West,1684.5014
CV2,124.5,42.13,1,yes,Test_field,48652.0177
CV1,129.5,31.73,0,no,Mid_West,14019.9767
CV2,126.5,29.70,2,no,Test_field,12902.386
CV2,104.5,36.19,0,no,Test_field,19191.20553
CV2,131.5,40.48,0,no,Test_field,13807.6152
CV2,105.5,28.03,1,no,Mid_West,6043.62675
CV1,100.5,38.90,3,no,Mid_East,5948.878
CV1,113.5,30.20,2,no,Mid_East,8801.586
CV1,113.5,28.05,1,no,Test_field,8209.5975
CV2,120.5,31.35,0,no,Test_field,27322.54207
CV1,101.5,38.00,3,no,Mid_East,6172.948
CV1,87.5,31.79,2,no,Test_field,3032.8881
CV1,130.5,36.30,0,no,Test_field,13863.704
CV1,121.5,47.41,0,yes,Test_field,63746.92801
CV2,121.5,30.21,0,no,North,10207.9999
CV2,116.5,,2,yes,North,23783.7406
CV2,95.5,35.44,0,no,Mid_West,3245.34665
CV1,121.5,46.70,2,no,Mid_East,11514.921
CV1,92.5,28.60,0,no,Mid_West,3190.12205
CV1,110.5,46.20,0,yes,Test_field,45839.705
CV2,130.5,30.80,0,no,Mid_East,13367.059
CV1,99.5,28.93,0,no,Test_field,3949.4247
CV2,129.5,21.40,0,no,Mid_East,12933.618
CV1,119.5,31.73,2,no,North,11164.1567
CV1,92.5,41.33,0,no,Mid_West,17855.40068
CV2,95.5,23.80,2,no,Mid_East,3824.174
CV2,113.5,33.44,1,no,Mid_West,8311.0896
CV2,101.5,34.21,0,no,Test_field,3911.6799
CV1,102.5,34.11,3,yes,North,39959.92595
CV2,86.5,35.53,0,no,North,1622.9297
CV1,113.5,19.95,2,no,North,9170.3385
CV1,121.5,32.68,0,no,Mid_West,10900.4332
CV2,94.5,30.50,0,no,Mid_East,2470.522
CV2,117.5,44.77,1,no,Test_field,9035.2303
CV1,85.5,32.12,2,no,Test_field,2777.7588
CV1,86.5,30.50,0,no,North,2104.93105
CV1,105.5,40.57,1,no,North,6350.05735
CV2,108.5,30.59,2,no,North,7233.2231
CV1,116.5,31.90,5,no,Mid_East,11529.404
CV2,115.5,40.57,2,yes,North,45678.52235
CV1,98.5,29.10,0,no,Mid_East,3737.792
CV1,85.5,37.29,1,no,Test_field,2195.9451
CV1,97.5,43.12,2,no,Test_field,4730.1368
CV1,129.5,36.86,1,no,Mid_West,31596.50106
CV1,124.5,34.30,2,no,Mid_West,13200.55705
CV1,125.5,27.17,0,no,North,12199.3983
CV2,89.5,26.84,0,no,Test_field,1641.4996
CV1,98.5,38.10,1,yes,Mid_West,58547.57448
CV2,119.5,30.20,1,no,Mid_East,9701.03
CV1,92.5,23.47,0,no,Mid_West,3182.99135
CV2,126.5,25.46,1,no,Mid_West,12890.4924
CV2,86.5,30.59,0,no,North,1616.0631
CV2,106.5,45.43,2,no,Test_field,6332.7707
CV1,99.5,23.65,1,no,Test_field,17602.73951
CV2,86.5,20.70,0,no,Mid_East,1219.316
CV1,100.5,28.27,1,no,Test_field,4756.1023
CV2,88.5,20.24,3,no,Mid_West,3837.70965
CV1,101.5,30.21,1,yes,North,43920.3761
CV1,128.5,35.91,0,no,Mid_West,13612.1379
CV1,105.5,30.69,1,no,Test_field,5953.3311
CV1,125.5,29.00,0,no,Mid_East,11818.942
CV2,114.5,19.57,1,no,North,8404.5693
CV2,87.5,31.13,2,no,Test_field,2542.9707
CV1,88.5,21.85,1,yes,Mid_West,15335.6045
CV2,108.5,40.26,0,no,Test_field,5685.6644
CV1,113.5,33.73,1,no,Mid_West,8800.48575
CV1,109.5,29.48,2,no,Test_field,7616.8092
CV1,101.5,33.25,1,no,Mid_West,5571.3455
CV2,110.5,32.60,2,no,Mid_East,7418.001
CV1,119.5,37.53,2,no,North,33448.47189
CV1,85.5,39.16,0,no,Test_field,1609.5444
CV2,118.5,31.64,0,no,North,9150.63565
CV1,123.5,25.30,0,no,Mid_East,11047.035
CV1,131.5,39.05,3,no,Test_field,16061.6275
CV1,86.5,28.31,0,yes,North,17445.4839
CV1,118.5,34.10,0,no,Test_field,9260.062
CV1,94.5,25.18,0,no,Mid_West,3535.12025
CV1,126.5,23.66,0,yes,North,25655.27845
CV2,95.5,26.98,2,no,Mid_West,4411.5942
CV2,97.5,37.80,2,yes,Mid_East,39217.942
CV1,114.5,29.37,1,no,Test_field,8524.1913
CV1,105.5,34.80,2,no,Mid_East,6548.044
CV1,85.5,33.16,0,no,Mid_West,2184.19745
CV1,101.5,19.00,3,no,Mid_West,6729.538
CV1,87.5,33.00,0,no,Test_field,1856.57
CV1,114.5,36.63,1,yes,Test_field,42946.3527
CV1,123.5,28.60,0,no,Mid_West,11634.61505
CV2,116.5,25.60,2,yes,Mid_East,23283.047
CV1,86.5,33.11,0,yes,Test_field,34416.3559
CV1,122.5,37.10,0,no,Mid_East,10690.144
CV2,97.5,31.40,1,no,Mid_East,3635.846
CV2,104.5,34.10,4,yes,Mid_East,40158.746
CV1,116.5,21.30,1,no,Mid_East,9158.67
CV2,85.5,33.54,0,yes,Mid_West,34594.34065
CV2,126.5,28.79,0,no,North,12106.11415
CV1,96.5,26.03,0,no,North,3712.9647
CV2,103.5,28.88,3,no,Mid_West,6725.0912
CV2,100.5,42.46,1,no,Test_field,11303.21487
CV2,125.5,38.00,0,no,Mid_East,11342.452
CV1,111.5,38.95,0,yes,North,42959.9585
CV2,120.5,36.10,1,no,Mid_East,10062.346
CV2,91.5,29.30,0,no,Mid_East,1954.315
CV1,96.5,35.53,0,no,Test_field,3343.1697
CV2,107.5,22.71,2,no,Mid_West,7149.85995
CV2,118.5,39.70,1,no,Mid_East,9367.846
CV2,131.5,38.19,0,no,Mid_West,14387.4321
CV1,86.5,24.51,1,no,North,2685.6119
CV1,102.5,38.10,2,no,Mid_West,24891.54626
CV2,106.5,26.41,0,yes,Mid_West,20125.8229
CV2,123.5,33.66,4,no,Test_field,12925.6554
CV2,100.5,42.40,5,no,Mid_East,6642.743
CV2,109.5,28.31,3,yes,North,32763.95859
CV2,128.5,33.92,0,no,Mid_West,13120.36485
CV1,90.5,34.96,3,no,North,4443.1214
CV2,110.5,35.31,2,no,Test_field,18782.64547
CV2,115.5,30.78,3,no,Mid_West,10117.6362
CV2,106.5,26.22,1,no,North,6100.0688
CV1,107.5,23.37,3,no,Mid_West,8228.7843
CV2,85.5,28.50,0,no,Mid_West,1688.727
CV1,125.5,32.97,0,no,Mid_West,12407.45335
CV1,116.5,42.68,2,no,Test_field,9777.3882
CV1,120.5,39.60,1,no,Test_field,10556.211
CV1,115.5,31.13,0,no,Test_field,8257.1227
CV1,112.5,36.30,2,no,Test_field,8504.032
CV1,126.5,35.20,0,no,Test_field,12221.031
CV1,119.5,25.30,2,yes,Test_field,24643.919
CV1,93.5,42.40,1,no,Mid_East,3386.824
CV2,94.5,33.16,2,no,North,4035.21245
CV1,115.5,35.91,1,no,Mid_West,26368.76029
CV1,124.5,28.79,4,no,Mid_West,14370.89815
CV2,104.5,46.53,3,no,Test_field,6412.1237
CV1,124.5,23.98,1,no,Test_field,22168.93711
CV1,99.5,31.54,1,no,Mid_West,5125.0526
CV2,85.5,33.66,0,no,Test_field,1112.8994
CV1,131.5,22.99,0,yes,Test_field,27014.4141
CV2,110.5,38.06,2,yes,Test_field,42536.9304
CV2,116.5,28.70,1,no,Mid_East,8679.956
CV1,107.5,32.78,2,yes,North,39979.83225
CV2,129.5,32.02,0,yes,Mid_West,45686.70785
CV1,107.5,29.81,1,no,Test_field,6476.7359
CV2,97.5,31.57,3,no,Test_field,4814.0823
CV1,96.5,31.16,0,no,Mid_West,3920.0954
CV2,103.5,29.70,0,no,Test_field,4376.231
CV1,108.5,31.02,0,no,Test_field,6161.8208
CV1,111.5,43.89,2,yes,Test_field,46177.4851
CV2,112.5,21.38,0,no,North,7199.28625
CV1,122.5,40.81,3,no,Test_field,12462.3009
CV2,127.5,31.35,3,yes,North,46107.0265
CV2,123.5,36.10,3,no,Mid_East,12340.047
CV1,116.5,23.18,2,no,North,10133.2832
CV1,88.5,17.40,1,no,Mid_East,2561.769
CV2,86.5,20.30,0,no,Mid_East,1218.76
CV2,106.5,35.30,2,yes,Mid_East,40080.39
CV2,120.5,24.32,0,no,North,9839.9718
CV1,100.5,18.50,1,no,Mid_East,4742.522
CV2,120.5,26.41,2,no,Mid_West,11220.8769
CV2,109.5,26.13,2,no,Mid_West,7706.14575
CV2,107.5,41.69,0,no,Test_field,5415.2491
CV1,114.5,24.10,1,no,Mid_East,26213.07997
CV2,94.5,31.13,1,yes,Test_field,34782.9677
CV2,88.5,27.36,0,no,Mid_West,2080.6134
CV2,114.5,36.20,1,no,Mid_East,8044.685
CV2,87.5,32.40,1,no,North,2338.72905
CV2,91.5,23.66,0,no,North,2329.46845
CV1,94.5,34.80,1,no,Mid_East,3554.499
CV1,93.5,40.19,0,no,North,3177.74515
CV1,120.5,32.30,2,no,Mid_West,29162.98236
CV2,108.5,35.75,1,yes,Test_field,40250.1455
CV2,123.5,33.73,0,no,North,10952.74575
CV1,90.5,39.27,2,no,Test_field,3477.1123
CV1,88.5,34.87,0,no,Test_field,1997.0523
CV1,117.5,44.75,0,no,Mid_West,9518.19555
CV2,120.5,41.47,0,no,Test_field,9480.8103
CV1,101.5,26.41,1,no,North,5361.8379
CV1,114.5,29.55,1,no,North,8907.43455
CV1,100.5,32.90,2,no,Mid_East,5351.538
CV1,118.5,38.06,0,yes,Test_field,44376.9064
CV2,116.5,28.69,3,no,North,10240.9421
CV1,98.5,30.50,3,no,Mid_West,6089.73105
CV1,103.5,27.74,0,no,Mid_West,5445.5066
CV2,85.5,35.20,1,no,Test_field,1704.04
CV1,117.5,23.54,2,no,Test_field,10083.7206
CV1,110.5,30.69,2,no,North,8287.33915
CV2,87.5,40.47,0,no,Mid_West,1960.9533
CV1,91.5,22.60,0,no,Mid_East,2434.002
CV2,127.5,28.90,0,no,Mid_East,12123.471
CV1,116.5,22.61,1,no,North,9543.4909
CV2,127.5,24.32,1,no,North,13089.1048
CV1,118.5,36.67,2,no,North,10824.6343
CV1,125.5,33.44,0,no,North,12208.1136
CV1,118.5,40.66,0,no,Mid_West,9852.1804
CV2,120.5,36.60,3,no,Mid_East,11241.041
CV2,129.5,37.40,0,no,Mid_East,12955.858
CV2,86.5,35.40,0,no,Mid_East,1239.749
CV1,117.5,27.08,1,no,Mid_West,10082.63425
CV1,97.5,39.05,3,yes,Test_field,40908.9295
CV2,108.5,28.41,1,no,North,6641.18595
CV1,96.5,,1,yes,Mid_West,16634.21745
CV1,85.5,40.28,0,no,Mid_West,2194.1012
CV1,108.5,36.08,1,no,Test_field,6757.8542
CV2,102.5,24.42,3,yes,Test_field,19338.4988
CV2,120.5,21.40,1,no,Mid_East,10041.913
CV1,91.5,30.10,3,no,Mid_East,4211.427
CV1,115.5,27.27,1,no,Mid_West,9423.75035
CV1,126.5,32.10,3,no,Mid_East,13983.722
CV1,116.5,34.77,1,no,North,9560.3933
CV1,104.5,38.39,0,yes,Test_field,40395.5191
CV2,93.5,23.70,2,no,Mid_East,3460.831
CV2,90.5,31.73,3,yes,Mid_West,36165.6017
CV2,96.5,35.50,2,yes,Mid_East,44561.95587
CV2,112.5,24.04,2,no,Mid_West,8580.98365
CV2,94.5,29.15,0,yes,Test_field,18222.9955
CV2,120.5,34.11,0,yes,Mid_West,43230.91795
CV1,98.5,26.62,0,no,Test_field,3734.3448
CV2,117.5,26.41,0,no,North,8803.7099
CV1,117.5,30.12,1,no,North,9886.85985
CV2,101.5,27.00,2,no,Mid_East,11714.34884
CV2,86.5,21.76,0,no,North,1603.78245
CV1,114.5,36.00,1,no,Mid_East,8533.407
CV2,95.5,30.88,0,no,North,3039.00825
CV1,104.5,26.40,0,yes,Test_field,19515.743
CV2,88.5,28.98,0,no,North,1882.85825
CV2,131.5,37.91,0,no,North,14187.03595
CV1,125.5,22.77,0,no,Test_field,11810.2823
CV2,91.5,33.63,4,no,Mid_West,17104.92608
CV2,98.5,27.65,2,no,Mid_West,5007.76955
CV1,106.5,22.80,3,no,Mid_West,7962.315
CV1,114.5,27.83,0,yes,Test_field,23041.9207
CV2,97.5,37.43,3,no,Mid_West,5405.2277
CV2,85.5,38.17,0,yes,Test_field,36284.2983
CV1,89.5,34.58,2,no,Mid_West,3902.2582
CV2,90.5,35.20,1,no,Mid_East,2393.455
CV2,100.5,27.10,1,yes,Mid_East,19017.376
CV2,94.5,26.03,0,no,Mid_West,3047.3087
CV1,112.5,25.18,2,no,Mid_West,9071.56825
CV1,124.5,31.83,0,no,North,11819.12375
CV2,114.5,32.30,1,no,Mid_East,8039.264
CV1,109.5,29.00,1,no,Mid_East,7027.142
CV1,131.5,39.70,0,no,Mid_East,14295.531
CV1,105.5,19.48,2,no,North,6909.74225
CV2,128.5,36.10,3,no,Mid_East,27917.78758
CV1,120.5,26.70,2,no,Mid_East,11127.28
CV1,111.5,36.48,0,no,Mid_West,12773.70962
CV1,86.5,28.88,0,yes,North,17725.0062
CV2,108.5,34.20,2,no,North,7238.241
CV2,118.5,33.33,3,no,Test_field,10536.9917
CV2,107.5,32.30,2,no,North,6963.197
CV2,112.5,39.81,0,no,Mid_West,7424.90395
CV2,102.5,34.32,3,no,Test_field,5910.8798
CV2,120.5,28.88,0,no,North,9846.3102
CV2,97.5,24.40,3,yes,Mid_East,18235.716
CV2,85.5,41.14,0,no,Test_field,1123.2966
CV2,118.5,35.97,1,no,Test_field,9362.6613
CV1,117.5,27.60,1,yes,Mid_East,24496.764
CV1,98.5,29.26,1,no,Test_field,4327.0144
CV1,102.5,27.70,3,no,Mid_East,6390.678
CV2,127.5,36.96,0,no,Mid_West,12717.66745
CV2,88.5,36.86,0,no,North,1893.8184
CV2,96.5,22.52,3,no,Mid_West,5186.07885
CV1,129.5,29.92,0,no,Test_field,13434.4608
CV1,106.5,41.80,0,no,Test_field,5638.725
CV2,86.5,27.60,0,no,Mid_East,1228.907
CV1,89.5,23.18,0,no,Mid_West,2708.4122
CV2,120.5,20.90,0,yes,Test_field,21172.318
CV1,106.5,31.92,2,no,North,7185.9918
CV2,94.5,28.50,0,yes,North,18287.242
CV2,97.5,44.22,2,no,Test_field,4242.6658
CV1,97.5,22.90,1,no,Mid_West,4696.02405
CV1,125.5,33.10,0,no,Mid_East,11824.641
CV2,100.5,24.80,0,yes,Mid_West,17881.02705
CV1,109.5,26.18,1,no,Test_field,7023.2222
CV1,131.5,35.97,0,no,Test_field,14290.3463
CV2,88.5,22.30,1,no,Mid_East,2079.58
CV1,85.5,42.24,0,yes,Test_field,38769.1856
CV2,90.5,26.51,0,no,Test_field,1792.3759
CV1,112.5,35.82,0,no,North,7708.35785
CV1,107.5,41.42,1,no,North,28453.23499
CV1,86.5,36.58,0,no,North,2113.38225
CV2,85.5,30.14,0,no,Test_field,1108.0066
CV2,92.5,25.84,1,no,Mid_West,3286.2926
CV1,113.5,30.80,3,no,Mid_East,9391.42
CV1,100.5,42.94,3,no,North,6337.4936
CV2,121.5,21.01,2,no,Test_field,10990.2119
CV2,95.5,22.52,2,no,Mid_West,4405.38785
CV2,103.5,34.43,2,no,Test_field,5560.8057
CV1,87.5,31.46,0,no,Test_field,1854.4294
CV1,91.5,24.23,0,no,North,2819.26075
CV2,90.5,37.10,3,no,Mid_East,3574.096
CV1,114.5,26.13,1,yes,Mid_West,23377.80575
CV1,100.5,35.53,0,yes,North,55111.90209
CV2,112.5,33.70,1,no,Mid_East,7422.418
CV2,93.5,17.67,0,no,North,2657.4493
CV1,85.5,31.13,0,no,Test_field,1598.3827
CV1,111.5,29.81,2,no,Test_field,8195.7039
CV2,127.5,24.32,0,no,North,12500.1048
CV1,131.5,31.83,2,no,Mid_West,16045.58475
CV2,123.5,31.79,2,yes,Test_field,43790.3661
CV2,103.5,28.03,1,yes,Mid_West,20750.12775
CV2,108.5,30.78,3,yes,Mid_West,39573.9072
CV2,106.5,21.85,1,no,North,6093.9945
CV2,130.5,33.10,0,no,Mid_East,13370.256
CV1,103.5,25.84,0,no,North,5242.8656
CV1,95.5,23.85,2,no,North,4696.23655
CV2,125.5,34.39,0,no,North,11720.4341
CV2,103.5,33.82,1,no,North,5353.9578
CV2,109.5,35.97,2,no,Test_field,7136.8303
CV2,103.5,31.50,0,no,Mid_East,4378.733
CV1,123.5,28.31,0,no,Mid_West,11634.2189
CV1,102.5,23.47,2,no,Mid_West,6378.79135
CV1,126.5,31.35,0,no,North,12598.6795
CV2,88.5,31.10,0,no,Mid_East,1502.812
CV2,126.5,24.70,0,no,Mid_West,12300.436
CV1,90.5,32.78,2,yes,Test_field,35997.5112
CV1,124.5,29.81,0,yes,Test_field,27510.4129
CV2,120.5,30.50,0,no,Mid_West,10048.55505
CV1,127.5,32.45,0,yes,Test_field,44985.4555
CV1,118.5,34.20,1,no,Mid_East,9849.201
CV2,90.5,50.38,1,no,Test_field,2414.5552
CV1,94.5,24.10,0,no,Mid_East,2950.626
CV2,122.5,32.78,0,no,North,10578.13225
CV1,104.5,30.78,0,yes,Mid_West,37246.6512
CV2,128.5,32.30,2,no,North,14096.12
CV1,113.5,35.53,0,yes,Mid_West,42088.1647
CV1,120.5,23.75,2,no,Mid_West,11706.1795
CV1,116.5,23.85,3,yes,Mid_West,24083.41255
CV1,87.5,29.60,0,no,Mid_East,1851.844
CV1,115.5,33.11,0,yes,Test_field,40950.6649
CV2,92.5,24.13,0,yes,North,15794.4857
CV1,92.5,32.23,1,no,Test_field,18194.66139
CV2,124.5,28.10,0,no,Mid_East,10941.946
CV1,104.5,47.60,2,yes,Mid_East,46090.011
CV1,105.5,28.00,3,no,Mid_East,7127.592
CV1,122.5,33.54,2,no,North,12246.18865
CV1,103.5,19.86,0,no,Mid_West,5434.54645
CV2,118.5,25.40,0,no,Mid_East,8758.969
CV2,107.5,29.90,2,no,Mid_East,6576.861
CV2,85.5,37.29,0,no,Test_field,1117.9451
CV2,124.5,43.70,1,no,Mid_East,11552.63
CV2,128.5,23.66,0,no,Mid_West,13106.10345
CV1,92.5,24.30,3,no,Mid_East,4368.152
CV2,117.5,36.20,0,no,Mid_East,8434.318
CV1,93.5,29.48,1,no,Test_field,3368.8652
CV2,109.5,24.86,0,no,Test_field,5943.3874
CV2,110.5,30.10,1,no,Mid_East,6825.526
CV2,111.5,21.85,3,no,Mid_West,8867.6395
CV1,90.5,28.12,0,no,North,2666.6138
CV1,116.5,27.10,1,no,Mid_East,26116.8603
CV2,100.5,33.44,5,no,Test_field,6630.2886
CV2,108.5,28.80,1,no,Mid_East,6258.735
CV1,104.5,29.50,2,no,Mid_East,6288.452
CV2,89.5,34.80,3,no,Mid_East,3419.564
CV2,90.5,27.36,1,no,North,2765.5574
CV1,88.5,22.14,0,no,Mid_West,2562.35065
CV1,118.5,37.05,3,yes,Mid_West,46231.6125
CV2,92.5,26.70,4,no,North,4854.48105
CV2,99.5,28.93,1,yes,Test_field,19696.1947
CV2,124.5,28.98,0,yes,Mid_West,27194.93725
CV1,103.5,30.02,0,no,North,5248.6758
CV2,89.5,39.50,0,no,Mid_East,1659.097
CV2,124.5,33.63,1,no,North,11921.6327
CV1,131.5,26.89,0,yes,North,29307.48315
CV1,103.5,29.04,4,no,Test_field,7220.3136
CV2,121.5,24.04,0,no,Mid_West,10399.41665
CV2,114.5,38.94,2,yes,Test_field,44179.1536
CV2,129.5,32.11,0,no,Mid_West,13531.5049
CV1,128.5,44.00,0,no,Mid_East,13040.383
CV1,110.5,20.05,2,yes,Mid_West,19774.55455
CV2,86.5,25.56,1,no,North,2198.06445
CV1,85.5,40.26,0,no,Test_field,1611.0734
CV1,86.5,22.52,0,no,North,2093.83885
CV2,116.5,22.52,0,no,Mid_West,8665.35885
CV2,127.5,40.92,0,yes,Test_field,48650.0588
CV2,93.5,27.27,3,no,Mid_West,4637.78635
CV2,116.5,36.85,0,no,Test_field,8102.2845
CV1,127.5,35.10,0,no,Mid_East,12621.089
CV1,93.5,29.36,2,no,Mid_West,4540.69145
CV2,94.5,32.59,3,no,Mid_West,4823.42015
CV1,111.5,32.34,1,no,Test_field,7610.2206
CV2,130.5,39.80,3,no,Mid_East,15146.569
CV1,99.5,24.60,0,yes,Mid_East,17472.806
CV2,89.5,28.31,1,no,North,2615.5429
CV2,85.5,31.73,0,yes,Mid_West,33709.1867
CV1,126.5,26.70,3,no,North,14359.20905
CV1,111.5,27.50,1,no,Mid_East,7603.493
CV2,100.5,24.61,2,no,North,5234.00795
CV1,91.5,33.99,0,no,Test_field,2449.8341
CV1,110.5,26.89,0,yes,North,21750.82215
CV2,112.5,22.90,0,yes,Mid_West,35045.87452
CV1,128.5,28.20,0,no,Mid_East,13018.421
CV1,102.5,34.21,1,no,Test_field,5221.7269
CV1,129.5,25.00,0,no,Mid_East,13427.622
CV1,129.5,33.20,0,no,Mid_East,13439.02
CV2,105.5,31.00,1,no,Mid_East,5464.762
CV2,101.5,35.82,0,no,North,4296.91085
CV2,110.5,23.20,0,no,Mid_East,6226.935
CV2,117.5,32.11,2,no,Mid_West,25309.83284
CV1,86.5,23.40,2,no,Mid_East,2890.069
CV1,124.5,20.10,1,no,Mid_East,12008.826
CV1,129.5,39.16,0,no,Test_field,13447.3044
CV2,108.5,34.21,1,no,Test_field,6266.2549
CV2,93.5,46.53,1,no,Test_field,2903.5647
CV1,106.5,32.50,1,no,Mid_East,6214.798
CV2,113.5,25.80,5,no,Mid_East,10073.47
CV1,112.5,35.30,0,no,Mid_East,7324.642
CV2,99.5,37.18,2,no,Test_field,4649.8922
CV1,126.5,27.50,0,no,Mid_East,12210.328
CV2,111.5,29.74,2,no,Mid_West,32085.16282
CV1,106.5,24.23,5,no,North,8942.29575
CV2,85.5,26.18,2,no,Test_field,2280.5022
CV2,120.5,29.48,0,no,Test_field,9464.1442
CV2,85.5,23.21,0,no,Test_field,1098.3739
CV1,117.5,46.09,1,no,Test_field,9526.0651
CV1,85.5,40.19,0,no,Mid_West,2193.96915
CV2,86.5,22.61,0,no,North,1604.9709
CV2,129.5,39.93,0,no,Test_field,12959.3747
CV1,123.5,35.80,1,no,Mid_East,11650.63
CV2,109.5,35.80,2,no,Mid_East,7136.594
CV2,104.5,34.20,1,yes,Mid_West,39023.785
CV2,109.5,31.26,0,no,North,6335.27645
CV2,92.5,29.70,3,yes,Mid_East,19909.958
CV2,124.5,18.34,0,no,Mid_West,11511.37265
CV2,118.5,42.90,2,yes,Test_field,47439.394
CV1,97.5,28.41,1,no,North,4503.68295
CV2,111.5,30.20,2,yes,Mid_East,38975.046
CV2,101.5,27.84,1,yes,North,19986.13365
CV2,98.5,39.49,1,no,Test_field,3852.2341
CV2,121.5,30.80,1,yes,Test_field,41976.02
CV2,91.5,26.79,1,no,North,12586.38702
CV2,110.5,34.96,1,yes,Mid_West,41010.7214
CV2,115.5,36.67,1,no,North,28445.41901
CV1,86.5,39.62,1,no,North,2706.60785
CV1,96.5,25.90,0,no,Mid_East,3329.784
CV1,130.5,35.20,1,no,Test_field,14451.175
CV2,113.5,24.80,3,no,Mid_West,9477.07305
CV2,119.5,36.77,2,no,North,26443.59737
CV2,102.5,27.10,1,no,Mid_East,4722.844
CV2,118.5,24.80,2,yes,North,23943.88305
CV2,111.5,25.37,1,no,North,7494.52535
CV2,88.5,25.75,2,no,Mid_West,3256.36855
CV1,106.5,34.32,5,no,Test_field,8573.3278
CV1,117.5,28.16,3,no,Test_field,10679.1424
CV1,101.5,23.56,0,no,Mid_West,4968.8764
CV1,89.5,20.24,0,no,North,2504.31865
CV1,86.5,40.50,0,no,Mid_East,1735.838
CV2,93.5,35.42,0,no,Test_field,2299.1218
CV2,96.5,22.90,0,yes,Mid_West,16115.26205
CV2,115.5,40.15,0,no,Test_field,7780.6605
CV2,93.5,29.15,1,no,Test_field,2879.4065
CV1,112.5,40.00,3,no,Mid_West,9681.16805
CV1,103.5,29.92,0,no,Test_field,4865.5368
CV2,121.5,25.46,1,no,Mid_West,25493.61363
CV2,101.5,21.38,0,no,Mid_West,4476.83925
CV2,98.5,25.90,3,yes,Mid_East,19176.444
CV1,94.5,30.59,1,no,Mid_West,16772.91194
CV2,87.5,30.12,5,no,Mid_West,4891.55985
CV1,111.5,25.80,1,no,Mid_East,7601.13
CV2,110.5,30.12,3,no,North,8386.54685
CV1,112.5,27.65,1,no,North,28316.68885
CV2,101.5,34.68,0,no,Mid_West,4495.32625
CV1,91.5,20.52,0,yes,Mid_West,14548.3908
CV1,93.5,19.80,1,no,Mid_East,3355.41
CV1,105.5,27.84,2,no,Mid_West,7121.36265
CV1,117.5,31.60,2,no,Mid_East,10094.924
CV2,105.5,28.27,1,no,Test_field,5460.9673
CV1,94.5,20.05,3,yes,North,16396.99455
CV1,106.5,23.28,3,no,Mid_West,7962.97525
CV1,106.5,34.10,3,no,Mid_East,7395.022
CV1,130.5,36.85,0,no,Test_field,13864.4685
CV1,100.5,36.29,3,no,Mid_West,6528.2501
CV1,103.5,26.89,0,no,North,5244.31815
CV2,97.5,22.99,2,yes,North,17338.2661
CV2,91.5,32.70,0,yes,Mid_East,34449.341
CV2,91.5,25.80,0,no,Mid_East,1949.45
CV2,115.5,29.60,0,no,Mid_East,21208.68226
CV2,114.5,19.19,1,no,Mid_West,8604.0411
CV2,96.5,31.73,2,no,North,4409.8877
CV2,95.5,29.26,2,no,Mid_West,4414.7634
CV2,114.5,28.22,3,yes,North,24891.72085
CV2,92.5,24.99,2,no,Mid_West,23217.97453
CV2,118.5,27.74,1,no,Mid_West,9934.2216
CV1,115.5,22.80,0,no,Mid_East,8245.544
CV2,110.5,20.13,2,yes,Test_field,18744.2377
CV1,128.5,33.33,4,no,Test_field,36556.78216
CV2,115.5,32.30,1,no,North,8741.749
CV1,105.5,27.60,0,no,Mid_East,5360.036
CV2,126.5,25.46,0,no,North,12101.4924
CV1,86.5,24.61,1,no,North,2685.74395
CV1,93.5,34.20,2,no,Mid_East,3964.426
CV1,121.5,35.82,3,no,North,12471.79085
CV1,88.5,32.68,2,no,North,25995.45052
CV2,118.5,37.00,0,no,Mid_East,8775.093
CV1,89.5,31.02,3,yes,Test_field,35572.0898
CV2,114.5,36.08,1,yes,Test_field,42187.6382
CV2,85.5,23.32,1,no,Test_field,1687.5268
CV1,114.5,45.32,1,no,Test_field,8546.3618
CV1,88.5,34.60,0,no,Mid_East,1996.677
CV2,86.5,26.03,1,yes,North,16427.3947
CV2,90.5,18.72,0,no,North,21571.88229
CV2,121.5,31.60,0,no,Mid_East,9826.932
CV1,104.5,17.29,2,no,Mid_West,6854.4801
CV1,113.5,23.66,1,yes,North,21653.78345
CV1,122.5,35.20,0,yes,Test_field,44400.303
CV1,97.5,27.93,0,no,Mid_West,4114.0227
CV2,85.5,21.57,0,yes,Mid_West,13724.37235
CV2,128.5,38.38,0,no,North,12926.5712
CV1,121.5,23.00,3,no,Mid_East,12070.978
CV2,89.5,37.07,2,yes,Test_field,37460.9493
CV1,112.5,30.50,1,yes,North,39702.01805
CV2,89.5,28.88,0,no,Mid_West,2227.3352
CV2,86.5,27.27,2,no,North,22470.15964
CV1,102.5,28.03,0,yes,North,20211.35475
CV2,85.5,23.09,0,no,Mid_West,1681.20015
CV2,87.5,30.69,0,yes,Mid_West,33452.31715
CV1,95.5,25.80,0,no,Mid_East,3137.954
CV2,122.5,35.25,1,no,Mid_West,11370.56555
