Location,Season,Genotype,Reps,Iron_mg_ha,Fe_V,Fe_R,Fe_M
East,2022,CV12,1,21.8253,0.3000,0.2500,0.0600
East,2022,CV12,2,2.4447,0.2700,0.2900,0.0600
East,2022,CV12,7,16.9766,0.2400,0.2800,0.0600
East,2022,CV12,8,7.3771,0.2700,0.2100,0.0300
East,2022,CV12,9,6.5519,0.2400,0.2400,0.0300
East,2022,CV12,10,11.3954,0.2400,0.2200,0.0400
East,2022,CV12,11,12.5739,0.2400,0.2900,0.0900
East,2022,CV12,12,9.3832,0.2800,0.2400,0.0400
East,2022,CV12,13,8.9424,0.2300,0.2200,0.0400
East,2022,CV12,14,16.9263,0.2900,0.2400,0.0500
West,2021,CV1,1,13.2023,0.7900,0.1600,0.0300
West,2021,CV1,2,14.1212,0.6400,0.2300,0.1000
West,2021,CV1,3,19.2169,0.7400,0.2600,0.1300
West,2021,CV1,4,23.4879,0.6700,0.2000,0.1500
West,2021,CV1,5,13.4269,0.8100,0.1900,0.0700
West,2021,CV1,6,21.1531,0.6500,0.2700,0.0900
West,2021,CV1,7,22.6629,0.5200,0.2300,0.0900
West,2021,CV1,8,28.2436,0.4900,0.2400,0.0800
West,2021,CV1,9,30.1248,0.5800,0.2400,0.2700
West,2021,CV1,10,19.6726,0.5600,0.2900,0.0800
West,2021,CV1,11,16.7073,0.5700,0.2300,0.0700
West,2021,CV1,12,18.9435,0.4400,0.2300,0.0800
West,2021,CV1,13,20.4889,0.3600,0.2000,0.0600
West,2021,CV1,14,21.8274,0.2300,0.3200,0.1000
West,2021,CV1,15,26.4239,0.5500,0.2800,0.0900
West,2021,CV1,16,35.1451,0.3200,0.1900,0.0700
West,2021,CV1,17,30.8430,0.1900,0.2400,0.0600
West,2021,CV1,18,17.4452,0.4700,0.2800,0.0800
West,2021,CV1,19,28.8938,0.4600,0.3300,0.1500
West,2021,CV2,1,11.1327,0.3800,0.2400,0.2300
West,2021,CV2,2,16.3438,0.4100,0.3500,0.1900
West,2021,CV2,3,17.0507,0.3900,0.2300,0.1000
West,2021,CV2,4,12.1119,0.3800,0.2800,0.1100
West,2021,CV2,5,6.3052,0.5000,0.2700,0.2700
West,2021,CV2,6,12.4231,0.2100,0.2900,0.0700
West,2021,CV2,7,12.4161,0.5400,0.2700,0.0600
West,2021,CV2,8,16.6945,0.4200,0.1500,0.1600
West,2021,CV2,9,21.1292,0.3700,0.1700,0.1100
West,2021,CV2,10,12.0065,0.5700,0.2700,0.1100
West,2021,CV2,11,14.0619,0.4300,0.3000,0.2700
West,2021,CV2,12,8.5302,0.4400,0.2200,0.1300
West,2021,CV2,13,13.1132,0.8200,0.2200,0.0800
West,2021,CV2,14,10.9491,0.5700,0.1700,0.1000
West,2021,CV2,15,10.6996,0.3200,0.2200,0.0700
West,2021,CV2,16,11.9281,0.2400,0.1700,0.0600
West,2021,CV2,17,21.0404,0.2700,0.2500,0.0800
West,2021,CV2,18,13.4833,0.2900,0.2200,0.0800
West,2021,CV2,19,18.6508,0.2600,0.2900,0.1000
West,2021,CV3,1,25.3528,0.2800,0.2200,0.1700
West,2021,CV3,2,15.2840,0.2400,0.2300,0.1100
West,2021,CV3,3,11.9441,0.1300,0.2800,0.0900
West,2021,CV3,4,11.1118,0.3300,0.3000,0.1400
West,2021,CV3,5,7.0114,0.1200,0.2700,0.1300
West,2021,CV3,6,8.3692,0.2700,0.1800,0.0800
West,2021,CV3,7,13.7659,0.3000,0.2400,0.1700
West,2021,CV3,8,9.4099,0.2300,0.2400,0.0600
West,2021,CV3,9,22.6976,0.0800,0.2600,0.0700
West,2021,CV3,10,19.8669,0.1500,0.2100,0.1600
West,2021,CV3,11,15.3977,0.2100,0.2500,0.1200
West,2021,CV3,12,11.9296,0.0800,0.2200,0.1100
West,2021,CV3,13,15.3995,0.1300,0.1800,0.1600
West,2021,CV3,14,13.7650,0.2900,0.1600,0.1100
West,2021,CV3,15,17.1564,0.2100,0.1600,0.0900
West,2021,CV3,16,16.2168,0.2400,0.2400,0.3400
West,2021,CV3,17,17.2435,0.3300,0.2400,0.0800
West,2021,CV3,18,24.2913,0.3800,0.1800,0.1300
West,2021,CV3,19,28.1477,0.3800,0.2300,0.1000
West,2021,CV4,1,23.6487,0.3300,0.2400,0.1800
West,2021,CV4,2,10.3840,0.3300,0.2600,0.0700
West,2021,CV4,3,10.5763,0.2800,0.2000,0.1500
West,2021,CV4,4,8.4573,0.2500,0.2400,0.0700
West,2021,CV4,5,6.1191,0.2500,0.2500,0.0600
West,2021,CV4,6,14.8969,0.3000,0.2200,0.1400
West,2021,CV4,7,8.2029,0.4100,0.2200,0.1200
West,2021,CV4,8,9.5931,0.3900,0.2400,0.0900
West,2021,CV4,9,16.9283,0.3300,0.1800,0.0900
West,2021,CV4,10,11.0397,0.4700,0.3000,0.0700
West,2021,CV4,11,23.8366,0.5400,0.3100,0.1400
West,2021,CV4,12,27.9037,0.5400,0.2600,0.1600
West,2021,CV4,13,14.5386,0.3400,0.2300,0.0600
West,2021,CV4,14,19.6125,0.3400,0.2400,0.0500
West,2021,CV4,15,18.3279,0.3500,0.2400,0.0700
West,2021,CV4,16,19.9457,0.4400,0.2900,0.0600
West,2021,CV4,17,15.3699,0.3700,0.2300,0.0500
West,2021,CV4,18,15.2894,0.2900,0.2700,0.0700
West,2021,CV4,19,14.2278,0.3500,0.2400,0.1200
West,2021,CV5,1,13.3987,0.2700,0.2500,0.0500
West,2021,CV5,2,7.9953,0.2900,0.2700,0.0600
West,2021,CV5,3,15.3818,0.3200,0.2200,0.1700
West,2021,CV5,4,15.0061,0.3400,0.2800,0.0800
West,2021,CV5,5,15.0082,0.2900,0.2800,0.1000
West,2021,CV5,6,12.0736,0.3200,0.2900,0.0600
West,2021,CV5,7,15.1484,0.3700,0.2000,0.1900
West,2021,CV5,8,14.6412,0.3600,0.3000,0.1200
West,2021,CV5,9,13.2442,0.2600,0.0000,0.0900
West,2021,CV5,10,10.5543,0.2700,0.2500,0.0900
West,2021,CV5,11,11.5084,0.3600,0.2400,0.1100
West,2021,CV5,12,12.2794,0.2000,0.2400,0.0500
West,2021,CV5,13,11.3340,0.3400,0.2700,0.0600
West,2021,CV5,14,11.2691,0.3100,0.2000,0.0700
West,2021,CV5,15,12.8679,0.2200,0.2000,0.1700
West,2021,CV5,16,19.5296,0.3100,0.2500,0.0500
West,2021,CV5,17,13.4251,0.2200,0.2500,0.0800
West,2021,CV5,18,7.0050,0.2000,0.2000,0.2000
West,2021,CV5,19,15.3230,0.3400,0.2800,0.0400
West,2021,CV6,1,13.8698,0.3000,0.2700,0.0500
West,2021,CV6,2,14.2146,0.2800,0.2900,0.1500
West,2021,CV6,3,19.6594,0.3200,0.2300,0.0900
West,2021,CV6,4,10.9304,0.3600,0.2100,0.1900
West,2021,CV6,5,11.6854,0.3700,0.2300,0.4200
West,2021,CV6,6,13.6107,0.2600,0.2300,0.1200
West,2021,CV6,7,10.9990,0.1400,0.1300,0.0600
West,2021,CV6,8,16.2017,0.2300,0.2400,0.1000
West,2021,CV6,9,8.0396,0.2500,0.2400,0.0600
West,2021,CV6,10,13.1267,0.3200,0.2400,0.0700
West,2021,CV6,11,24.7092,0.2900,0.2900,0.0400
West,2021,CV6,12,20.9709,0.3300,0.2500,0.0900
West,2021,CV6,13,15.3597,0.0900,0.2200,0.0500
West,2021,CV6,14,13.3743,0.2300,0.2800,0.1000
West,2021,CV6,15,10.6390,0.1100,0.2700,0.1600
West,2021,CV6,16,21.0997,0.1000,0.1900,0.1700
West,2021,CV6,17,17.5750,0.2200,0.3100,0.0300
West,2021,CV6,18,9.4414,0.3100,0.2500,0.0700
West,2021,CV6,19,10.4584,0.4000,0.2600,0.0700
West,2021,CV7,1,13.4675,0.2500,0.2600,0.0400
West,2021,CV7,2,12.6073,0.1600,0.2600,0.1600
West,2021,CV7,3,16.3304,0.3200,0.2900,0.0600
West,2021,CV7,4,15.6529,0.2500,0.2200,0.0900
West,2021,CV7,5,17.2392,0.2900,0.2600,0.1400
West,2021,CV7,6,10.7690,0.3100,0.1700,0.1000
West,2021,CV7,7,10.9935,0.3600,0.2500,0.0700
West,2021,CV7,8,12.6299,0.3000,0.2600,0.1000
West,2021,CV7,9,8.2292,0.5000,0.2600,0.2600
West,2021,CV7,10,11.8835,0.3400,0.2400,0.1200
West,2021,CV7,11,16.3333,0.2800,0.2700,0.0700
West,2021,CV7,12,16.6099,0.1500,0.2200,0.1000
West,2021,CV7,13,16.0826,0.1000,0.2200,0.0700
West,2021,CV7,14,7.5151,0.3300,0.2500,0.0700
West,2021,CV7,15,8.9023,0.1300,0.2700,0.0800
West,2021,CV7,16,11.4141,0.1800,0.2600,0.0500
West,2021,CV7,17,15.1673,0.2800,0.2600,0.0800
West,2021,CV7,18,12.6154,0.3700,0.2600,0.1200
West,2021,CV7,19,8.3412,0.2000,0.2300,0.0500
West,2021,CV8,1,15.9902,0.1900,0.2400,0.2000
West,2021,CV8,2,14.7047,0.2000,0.2900,0.0800
West,2021,CV8,3,12.2542,0.2800,0.2600,0.1200
West,2021,CV8,4,10.5712,0.2700,0.2500,0.1300
West,2021,CV8,5,13.0492,0.4000,0.2700,0.1600
West,2021,CV8,6,5.6406,0.3000,0.2100,0.2700
West,2021,CV8,7,12.6379,0.3100,0.2600,0.0600
West,2021,CV8,8,5.8218,0.3700,0.2400,0.2100
West,2021,CV8,9,10.3835,0.2400,0.2600,0.0800
West,2021,CV8,10,15.5184,0.2900,0.2500,0.0600
West,2021,CV8,11,13.8134,0.1900,0.2300,0.0700
West,2021,CV8,12,13.2971,0.2600,0.2000,0.0500
West,2021,CV8,13,9.3185,0.3500,0.2200,0.0900
West,2021,CV8,14,11.4131,0.1300,0.2200,0.0500
West,2021,CV8,15,12.4015,0.3400,0.2300,0.0500
West,2021,CV8,16,18.1023,0.1200,0.2200,0.0400
West,2021,CV8,17,16.6274,0.3600,0.2700,0.1900
West,2021,CV8,18,22.8321,0.3200,0.2500,0.1900
West,2021,CV8,19,14.3233,0.1400,0.2600,0.0400
West,2021,CV9,1,13.5320,0.2200,0.2700,0.1400
West,2021,CV9,2,27.1752,0.3200,0.3200,0.1100
West,2021,CV9,3,12.5229,0.2500,0.2800,0.0900
West,2021,CV9,4,17.2923,0.3600,0.2700,0.1600
West,2021,CV9,5,13.3453,0.5300,0.2700,0.1600
West,2021,CV9,6,13.0795,0.4400,0.3000,0.1100
West,2021,CV9,7,11.3814,0.3000,0.2600,0.1400
West,2021,CV9,8,15.4459,0.2000,0.2200,0.1400
West,2021,CV9,9,19.0456,0.4100,0.3200,0.2400
West,2021,CV9,10,21.1494,0.2500,0.2300,0.0700
West,2021,CV9,11,15.5954,0.4700,0.2800,0.0600
West,2021,CV9,12,12.5804,0.2500,0.2800,0.0500
West,2021,CV9,13,11.5599,0.5000,0.2400,0.0400
West,2021,CV9,14,13.8656,0.1400,0.2900,0.0600
West,2021,CV9,15,18.5114,0.0800,0.2900,0.1700
West,2021,CV9,16,20.1691,0.1500,0.3000,0.0800
West,2021,CV9,17,32.5214,0.1500,0.2800,0.2000
West,2021,CV9,18,23.7373,0.3300,0.2700,0.0500
West,2021,CV9,19,21.2868,0.1600,0.3100,0.4200
West,2021,CV10,1,13.1779,0.4700,0.2500,0.1600
West,2021,CV10,2,25.2412,0.2100,0.2900,0.1300
West,2021,CV10,3,14.0660,0.1900,0.2800,0.1100
West,2021,CV10,4,20.8093,0.2900,0.2900,0.1200
West,2021,CV10,5,19.5896,0.2200,0.2500,0.0600
West,2021,CV10,6,10.6646,0.2400,0.2800,0.1800
West,2021,CV10,7,11.3316,0.2800,0.2600,0.2400
West,2021,CV10,8,16.6278,0.2100,0.2700,0.0900
West,2021,CV10,9,12.2425,0.1000,0.2800,0.0900
West,2021,CV10,10,14.6829,0.1500,0.2200,0.1000
West,2021,CV10,11,9.2851,0.1200,0.2300,0.1100
West,2021,CV10,12,9.6753,0.2000,0.2300,0.1600
West,2021,CV10,13,6.3710,0.1100,0.2600,0.2000
West,2021,CV10,14,16.4066,0.1400,0.2700,0.1700
West,2021,CV10,15,11.9027,0.2500,0.2500,0.1300
West,2021,CV10,16,20.8228,0.6900,0.2500,0.2000
West,2021,CV10,17,25.4919,0.1500,0.3200,0.1600
West,2021,CV10,18,19.2849,0.3000,0.2600,0.3100
West,2021,CV10,19,13.8165,0.2900,0.2600,0.1400
West,2021,CV11,1,10.0958,0.2500,0.3300,0.1400
West,2021,CV11,2,15.9687,0.2900,0.2900,0.0800
West,2021,CV11,3,25.0977,0.1200,0.3300,0.1100
West,2021,CV11,4,16.0678,0.2800,0.2800,0.2100
West,2021,CV11,5,12.2341,0.5800,0.2800,0.2200
West,2021,CV11,6,11.5117,0.2700,0.3000,0.1200
West,2021,CV11,7,15.1191,0.3000,0.2400,0.2300
West,2021,CV11,8,16.1608,0.2600,0.3100,0.4000
West,2021,CV11,9,15.2392,0.2400,0.2900,0.0500
West,2021,CV11,10,10.7766,0.0900,0.2300,0.0700
West,2021,CV11,11,16.8038,0.1100,0.3000,0.1100
West,2021,CV11,12,12.1390,0.1100,0.2900,0.2400
West,2021,CV11,13,18.4427,0.0900,0.2800,0.2300
West,2021,CV11,14,15.3041,0.2100,0.2600,0.0900
West,2021,CV11,15,12.0167,0.1900,0.2500,0.3200
West,2021,CV11,16,13.8613,0.2200,0.2700,0.1200
West,2021,CV11,17,21.2378,0.2300,0.3900,0.0800
West,2021,CV11,18,13.2337,0.2800,0.2600,0.1900
West,2021,CV11,19,12.4446,0.2300,0.2400,0.3200
West,2021,CV12,1,9.2498,0.1900,0.2900,0.1200
West,2021,CV12,2,15.1489,0.2100,0.2800,0.1200
West,2021,CV12,3,15.4736,0.3500,0.2900,0.1000
West,2021,CV12,4,12.0111,0.3700,0.2900,0.0800
West,2021,CV12,5,8.6290,0.3400,0.3100,0.2000
West,2021,CV12,6,10.9576,0.5000,0.3000,0.2600
West,2021,CV12,7,11.7909,0.4100,0.2300,0.1700
West,2021,CV12,8,11.4051,0.4500,0.2700,0.0900
West,2021,CV12,9,8.9958,0.2600,0.2700,0.1600
West,2021,CV12,10,7.0334,0.3300,0.2600,0.2000
West,2021,CV12,11,19.1458,0.2500,0.2800,0.1300
West,2021,CV12,12,15.0522,0.4500,0.2900,0.1400
West,2021,CV12,13,11.3225,0.3000,0.2800,0.1100
West,2021,CV12,14,9.0070,0.4000,0.2700,0.0500
West,2021,CV12,15,9.8576,0.5000,0.2500,0.0800
West,2021,CV12,16,11.6107,0.3900,0.2900,0.1000
West,2021,CV12,17,9.5197,0.3100,0.2800,0.1000
West,2021,CV12,18,10.1303,0.3500,0.2500,0.1000
West,2021,CV12,19,15.5987,0.3200,0.2400,0.1000
West,2021,#N/A,1,7.4076,0.3500,0.2200,0.0500
West,2021,#N/A,2,7.5622,0.4000,0.2700,0.2800
West,2021,#N/A,3,9.3629,0.3700,0.2900,0.1000
West,2021,#N/A,4,6.3863,0.3500,0.2600,0.1300
West,2021,#N/A,5,8.2432,0.4000,0.2800,0.0800
West,2021,#N/A,6,8.4982,0.4400,0.2600,0.1000
West,2021,#N/A,7,2.7405,0.3600,0.2300,0.1400
West,2021,#N/A,8,10.4881,0.4000,0.2300,0.0800
West,2021,#N/A,9,10.1345,0.2800,0.2700,0.1200
West,2021,#N/A,10,10.9336,0.4200,0.2500,0.1500
West,2021,#N/A,11,16.9868,0.2900,0.3100,0.1100
West,2021,#N/A,12,2.6032,0.2300,0.2600,0.0900
West,2021,#N/A,13,9.3230,0.3200,0.2700,0.1300
West,2021,#N/A,14,8.5994,0.3700,0.2200,0.0700
West,2021,#N/A,15,11.7037,0.2700,0.2800,0.0700
West,2021,#N/A,16,10.6026,0.2800,0.3000,0.0900
West,2021,#N/A,17,9.7125,0.2700,0.2700,0.1500
West,2021,#N/A,18,8.4431,0.2500,0.2300,0.1200
West,2021,#N/A,19,11.2334,0.2900,0.2700,0.1800
West,2022,CV1,1,15.0424,0.5900,0.5700,0.5200
West,2022,CV1,2,12.7404,0.2700,0.2400,0.1000
West,2022,CV1,3,26.6408,0.2700,0.2700,0.0700
West,2022,CV1,4,23.0234,0.2800,0.2300,0.1100
West,2022,CV1,5,12.2262,0.2500,0.2000,0.1400
West,2022,CV1,6,23.0603,0.3800,0.2200,0.0900
West,2022,CV1,7,16.7189,0.2600,0.2000,0.0500
West,2022,CV1,8,21.3484,0.3400,0.2400,0.0900
West,2022,CV1,9,30.0149,0.3400,0.2500,0.0800
West,2022,CV1,10,15.5751,0.3200,0.2200,0.1000
West,2022,CV1,11,14.9240,0.3300,0.2400,0.0700
West,2022,CV1,12,19.0233,0.3600,0.2300,0.0400
West,2022,CV1,13,13.0705,0.3500,0.2100,0.3000
West,2022,CV1,14,23.4792,0.3600,0.2200,0.0500
West,2022,CV1,15,25.8940,0.3600,0.2600,0.0600
West,2022,CV1,16,27.0215,0.3400,0.2300,0.0600
West,2022,CV1,17,32.2723,0.2700,0.2500,0.0900
West,2022,CV1,18,25.3959,0.2900,0.2300,0.0800
West,2022,CV1,19,19.6334,0.2600,0.2800,0.0700
West,2022,CV2,1,9.6616,0.3500,0.2700,0.0600
West,2022,CV2,2,16.7362,0.3600,0.2600,0.0700
West,2022,CV2,3,21.4274,0.2400,0.2200,0.0500
West,2022,CV2,4,14.3217,0.3400,0.2600,0.0800
West,2022,CV2,5,9.0915,0.2700,0.2400,0.0600
West,2022,CV2,6,12.3913,0.2100,0.2400,0.0400
West,2022,CV2,7,12.4027,0.3100,0.2400,0.0400
West,2022,CV2,8,17.2773,0.3000,0.2100,0.2300
West,2022,CV2,9,17.6510,0.2900,0.2600,0.2100
West,2022,CV2,10,8.3748,0.3500,0.1600,0.0600
West,2022,CV2,11,9.7212,0.2400,0.2500,0.0700
West,2022,CV2,12,5.0591,0.3400,0.2300,0.0600
West,2022,CV2,13,7.6579,0.2700,0.2200,0.0600
West,2022,CV2,14,11.1001,0.3100,0.1800,0.0400
West,2022,CV2,15,14.4125,0.2400,0.2000,0.0500
West,2022,CV2,16,14.1472,0.2000,0.1800,0.0700
West,2022,CV2,17,13.4424,0.3000,0.2000,0.1000
West,2022,CV2,18,8.9360,0.2700,0.2100,0.0600
West,2022,CV2,19,18.0279,0.2800,0.2600,0.1600
West,2022,CV3,1,21.0637,0.4000,0.2700,0.1400
West,2022,CV3,2,11.8096,0.2800,0.2400,0.1000
West,2022,CV3,3,10.7016,0.3600,0.3300,0.1500
West,2022,CV3,4,11.6338,0.2500,0.2400,0.1500
West,2022,CV3,5,6.3025,0.3700,0.2000,0.0500
West,2022,CV3,6,8.0841,0.2400,0.2000,0.0600
West,2022,CV3,7,9.5733,0.2900,0.2200,0.1300
West,2022,CV3,8,10.4631,0.2900,0.1900,0.0400
West,2022,CV3,9,18.4698,0.3000,0.2300,0.0500
West,2022,CV3,10,9.4344,0.2100,0.2100,0.0800
West,2022,CV3,11,9.8045,0.2700,0.2200,0.0700
West,2022,CV3,12,5.3985,0.3100,0.1900,0.0600
West,2022,CV3,13,12.5629,0.2400,0.1800,0.0900
West,2022,CV3,14,9.1464,0.2600,0.1700,0.0600
West,2022,CV3,15,15.0379,0.2300,0.1900,0.0700
West,2022,CV3,16,16.0589,0.2600,0.2200,0.0500
West,2022,CV3,17,15.1497,0.2800,0.2200,0.1000
West,2022,CV3,18,16.7225,0.3100,0.2000,0.0400
West,2022,CV3,19,28.1210,0.3500,0.2500,0.1300
West,2022,CV4,1,25.0698,0.3200,0.2200,0.0600
West,2022,CV4,2,10.7071,0.2500,0.2000,0.0800
West,2022,CV4,3,9.2544,0.2900,0.1500,0.0800
West,2022,CV4,4,7.3483,0.2200,0.2400,0.0700
West,2022,CV4,5,6.3627,0.3000,0.1900,0.0700
West,2022,CV4,6,6.1401,0.3400,0.2000,0.0900
West,2022,CV4,7,13.8187,0.3100,0.2000,0.0800
West,2022,CV4,8,10.6853,0.3100,0.2300,0.0600
West,2022,CV4,9,19.7556,0.3100,0.2400,0.0000
West,2022,CV4,10,11.2313,0.4400,0.2200,0.0900
West,2022,CV4,11,14.8318,0.2400,0.1800,0.0700
West,2022,CV4,12,25.5183,0.3900,0.2100,0.1000
West,2022,CV4,13,14.2496,0.3300,0.2200,0.0800
West,2022,CV4,14,10.8247,0.2500,0.2100,0.1400
West,2022,CV4,15,15.0000,0.3400,0.2100,0.0800
West,2022,CV4,16,11.7545,0.3100,0.2200,0.1000
West,2022,CV4,17,17.0946,0.2500,0.2300,0.0900
West,2022,CV4,18,8.9042,0.2700,0.2600,0.1100
West,2022,CV4,19,19.9487,0.4300,0.2200,0.1400
West,2022,CV5,1,22.6137,0.4600,0.2200,0.1500
West,2022,CV5,2,6.2871,0.3800,0.1900,0.1200
West,2022,CV5,3,16.8914,0.2500,0.1900,0.0800
West,2022,CV5,4,17.1557,0.2800,0.2100,0.1200
West,2022,CV5,5,25.1282,0.3300,0.1900,0.0700
West,2022,CV5,6,12.6726,0.2100,0.2000,0.1000
West,2022,CV5,7,24.1822,0.2800,0.2200,0.0800
West,2022,CV5,8,16.5608,0.2400,0.2500,0.1200
West,2022,CV5,9,16.6389,0.3600,0.2000,0.1200
West,2022,CV5,10,13.3433,0.4100,0.2000,0.1000
West,2022,CV5,11,9.6477,0.3300,0.2300,0.0900
West,2022,CV5,12,16.0938,0.3800,0.2200,0.1500
West,2022,CV5,13,14.4482,0.2200,0.2600,0.1400
West,2022,CV5,14,15.9168,0.2400,0.2200,0.0900
West,2022,CV5,15,16.1322,0.3300,0.2400,0.1400
West,2022,CV5,16,18.6341,0.4400,0.3000,0.1000
West,2022,CV5,17,11.8279,0.3800,0.2700,0.1200
West,2022,CV5,18,13.3858,0.3000,0.2600,0.1600
West,2022,CV5,19,18.9722,0.3300,0.2900,0.1200
West,2022,CV6,1,20.7566,0.2400,0.2400,0.2900
West,2022,CV6,2,22.2198,0.2800,0.3000,0.2300
West,2022,CV6,3,19.7962,0.2400,0.3000,0.1700
West,2022,CV6,4,15.1055,0.2700,0.2800,0.1400
West,2022,CV6,5,16.1899,0.3400,0.2300,0.1000
West,2022,CV6,6,12.5983,0.2800,0.2700,0.1100
West,2022,CV6,7,10.5652,0.2800,0.2400,0.1500
West,2022,CV6,8,15.1566,0.2700,0.2300,0.1300
West,2022,CV6,9,12.2208,0.2900,0.2900,0.1400
West,2022,CV6,10,13.7284,0.2700,0.2900,0.1400
West,2022,CV6,11,15.4718,0.3600,0.2800,0.1000
West,2022,CV6,12,23.3001,0.3300,0.2800,0.2100
West,2022,CV6,13,9.5455,0.3400,0.3000,0.1800
West,2022,CV6,14,12.7673,0.2700,0.2400,0.1000
West,2022,CV6,15,10.2948,0.2700,0.2300,0.1700
West,2022,CV6,16,20.7894,0.3500,0.2100,0.1700
West,2022,CV6,17,21.4422,0.2700,0.2500,0.1700
West,2022,CV6,18,12.2302,0.2300,0.2200,0.1200
West,2022,CV6,19,16.9298,0.2400,0.2500,0.1400
West,2022,CV7,1,15.4409,0.2500,0.2700,0.3300
West,2022,CV7,2,19.6521,0.3000,0.2500,0.1800
West,2022,CV7,3,21.7860,0.2300,0.2500,0.1500
West,2022,CV7,4,16.0526,0.2800,0.3000,0.2800
West,2022,CV7,5,18.3586,0.3300,0.2100,0.1100
West,2022,CV7,6,20.3416,0.2500,0.2300,0.1400
West,2022,CV7,7,17.5241,0.2600,0.2700,0.2200
West,2022,CV7,8,9.6968,0.2600,0.3900,0.0700
West,2022,CV7,9,8.5429,0.2800,0.3300,0.1400
West,2022,CV7,10,16.0793,0.2500,0.2300,0.1400
West,2022,CV7,11,18.1319,0.2400,0.2700,0.1200
West,2022,CV7,12,16.6585,0.3100,0.2500,0.1800
West,2022,CV7,13,12.5634,0.2800,0.2800,0.1800
West,2022,CV7,14,13.4492,0.2500,0.2900,0.2400
West,2022,CV7,15,12.4615,0.2500,0.3200,0.1800
West,2022,CV7,16,21.2649,0.2700,0.3300,0.1100
West,2022,CV7,17,15.2682,0.2300,0.2700,0.1400
West,2022,CV7,18,15.0158,0.2800,0.2700,0.1400
West,2022,CV7,19,15.9008,0.3200,0.2800,0.1100
West,2022,CV8,1,11.9543,0.2700,0.2600,0.2600
West,2022,CV8,2,11.8135,0.2800,0.2800,0.2300
West,2022,CV8,3,3.1879,0.2600,0.2300,0.1400
West,2022,CV8,4,15.1983,0.2500,0.2700,0.1400
West,2022,CV8,5,14.8299,0.3700,0.2500,0.2100
West,2022,CV8,6,5.5109,0.3800,0.3100,0.1400
West,2022,CV8,7,8.6250,0.3300,0.3000,0.0900
West,2022,CV8,8,6.4473,0.3800,0.3000,0.1300
West,2022,CV8,9,10.9046,0.3000,0.2300,0.3200
West,2022,CV8,10,19.0815,0.3500,0.2800,0.1200
West,2022,CV8,11,11.1088,0.3900,0.3000,0.2600
West,2022,CV8,12,7.3280,0.3600,0.2200,0.1800
West,2022,CV8,13,11.0744,0.2700,0.2300,0.1600
West,2022,CV8,14,11.1892,0.2900,0.2700,0.1100
West,2022,CV8,15,11.7060,0.3000,0.2900,0.1000
West,2022,CV8,16,14.3413,0.3600,0.2300,0.1600
West,2022,CV8,17,20.9027,0.2600,0.2700,0.1400
West,2022,CV8,18,24.0700,0.2800,0.2800,0.1600
West,2022,CV8,19,12.4522,0.2600,0.2700,0.1400
West,2022,CV9,1,13.0013,0.2900,0.2500,0.2300
West,2022,CV9,2,27.9441,0.3000,0.2600,0.2100
West,2022,CV9,3,21.1770,0.3800,0.2700,0.1300
West,2022,CV9,4,19.9612,0.3700,0.2600,0.1500
West,2022,CV9,5,21.9362,0.3600,0.3100,0.1900
West,2022,CV9,6,22.7452,0.3600,0.3000,0.3200
West,2022,CV9,7,14.8313,0.3600,0.2700,0.2200
West,2022,CV9,8,18.7283,0.2800,0.2800,0.2100
West,2022,CV9,9,16.2040,0.3400,0.3300,0.4500
West,2022,CV9,10,30.2053,0.2700,0.2500,0.1600
West,2022,CV9,11,24.1745,0.3200,0.2800,0.1200
West,2022,CV9,12,24.8513,0.4300,0.2500,0.2300
West,2022,CV9,13,11.8367,0.3400,0.2900,0.2600
West,2022,CV9,14,17.7029,0.3400,0.2600,0.1100
West,2022,CV9,15,22.8053,0.2900,0.3000,0.2000
West,2022,CV9,16,36.3085,0.2900,0.2900,0.4000
West,2022,CV9,17,36.5825,0.2900,0.2700,0.1700
West,2022,CV9,18,34.2077,0.3000,0.2800,0.1000
West,2022,CV9,19,30.9847,0.3400,0.3600,0.1000
West,2022,CV10,1,10.4957,0.2600,0.2700,0.1800
West,2022,CV10,2,18.8680,0.4200,0.2600,0.2200
West,2022,CV10,3,14.4678,0.2600,0.2600,0.1400
West,2022,CV10,4,12.8141,0.3700,0.3300,0.1400
West,2022,CV10,5,16.4831,0.3100,0.2800,0.1400
West,2022,CV10,6,10.1030,0.3300,0.2800,0.1400
West,2022,CV10,7,10.7549,0.2800,0.2300,0.1700
West,2022,CV10,8,27.8617,0.2700,0.2400,0.2200
West,2022,CV10,9,13.8974,0.3500,0.2600,0.1600
West,2022,CV10,10,31.5657,0.3700,0.2700,0.1900
West,2022,CV10,11,10.7932,0.3700,0.2700,0.1600
West,2022,CV10,12,18.1848,0.3700,0.3000,0.1200
West,2022,CV10,13,10.8147,0.3500,0.3100,0.1600
West,2022,CV10,14,15.2170,0.3200,0.2900,0.1500
West,2022,CV10,15,17.0449,0.4000,0.3000,0.1600
West,2022,CV10,16,18.7336,0.2900,0.2900,0.1000
West,2022,CV10,17,28.4107,0.3000,0.2300,0.1400
West,2022,CV10,18,21.1362,0.2400,0.2400,0.1300
West,2022,CV10,19,19.9443,0.3300,0.3100,0.1600
West,2022,CV11,2,15.7558,0.2500,0.2400,0.0900
West,2022,CV11,3,24.2385,0.2200,0.1900,0.0800
