Genotype,Replicate,baseline,plasticity,baseline_se,plasticity_se
CV2,133,3.12,0.01,0.32,0.00
CV2,134,2.78,0.01,0.41,0.00
CV2,135,2.82,0.01,0.31,0.00
CV2,136,3.20,0.01,0.33,0.00
CV2,137,2.84,0.01,0.39,0.00
CV2,138,2.99,0.01,0.42,0.00
CV2,139,2.69,0.01,0.41,0.00
CV2,140,2.98,0.01,0.33,0.00
CV2,141,3.01,0.01,0.46,0.00
CV2,142,3.37,0.01,0.48,0.00
CV2,143,2.70,0.01,0.37,0.00
CV2,144,2.82,0.01,0.43,0.00
CV2,145,2.93,0.01,0.41,0.00
CV2,146,3.09,0.01,0.21,0.00
CV2,147,2.83,0.01,0.38,0.00
CV2,148,3.05,0.01,0.35,0.00
CV2,149,2.88,0.01,0.50,0.00
CV2,150,2.96,0.01,0.40,0.00
CV2,151,2.97,0.01,0.43,0.00
CV2,152,2.64,0.01,0.38,0.00
CV2,153,3.07,0.01,0.40,0.00
CV2,154,3.05,0.01,0.35,0.00
CV2,155,2.87,0.01,0.46,0.00
CV2,156,3.02,0.01,0.37,0.00
CV2,157,2.86,0.01,0.35,0.00
CV2,158,2.52,0.01,0.56,0.00
CV2,159,3.12,0.01,0.42,0.00
CV2,160,2.80,0.01,0.40,0.00
CV2,161,2.90,0.01,0.46,0.00
CV2,162,3.08,0.01,0.49,0.00
CV2,163,3.11,0.01,0.36,0.00
CV2,164,3.13,0.01,0.41,0.00
CV2,165,3.01,0.01,0.42,0.00
CV2,166,2.78,0.01,0.35,0.00
CV2,167,2.95,0.01,0.34,0.00
CV2,168,2.99,0.01,0.49,0.00
CV2,169,3.20,0.01,0.48,0.00
CV2,170,2.88,0.01,0.34,0.00
CV2,171,3.26,0.01,0.28,0.00
CV2,172,3.00,0.01,0.39,0.00
CV2,173,3.13,0.01,0.35,0.00
CV2,174,2.97,0.01,0.45,0.00
CV2,175,2.61,0.01,0.42,0.00
CV2,176,2.84,0.01,0.33,0.00
CV2,177,3.08,0.01,0.40,0.00
CV2,178,2.94,0.01,0.38,0.00
CV2,179,3.12,0.01,0.47,0.00
CV2,180,2.88,0.01,0.38,0.00
CV2,181,2.87,0.01,0.38,0.00
CV2,182,3.06,0.01,0.40,0.00
CV2,183,3.00,0.01,0.40,0.00
CV2,184,2.81,0.01,0.48,0.00
CV2,185,3.26,0.01,0.35,0.00
CV2,186,3.12,0.01,0.40,0.00
CV2,187,3.17,0.01,0.48,0.00
CV2,188,2.83,0.01,0.38,0.00
CV2,189,3.22,0.01,0.35,0.00
CV2,190,3.23,0.01,0.33,0.00
CV2,191,2.75,0.01,0.24,0.00
CV2,192,3.11,0.01,0.36,0.00
CV2,193,2.97,0.01,0.50,0.00
CV2,194,2.83,0.01,0.46,0.00
CV2,195,2.94,0.01,0.44,0.00
CV2,196,3.22,0.01,0.31,0.00
CV2,197,2.92,0.01,0.36,0.00
CV2,198,3.27,0.01,0.36,0.00
CV2,199,2.82,0.01,0.39,0.00
CV2,200,2.82,0.01,0.42,0.00
CV2,201,2.82,0.01,0.38,0.00
CV2,202,3.13,0.01,0.49,0.00
CV2,203,2.83,0.01,0.37,0.00
CV2,204,3.03,0.01,0.34,0.00
CV2,205,3.03,0.01,0.44,0.00
CV2,206,3.02,0.01,0.44,0.00
CV2,207,2.98,0.01,0.46,0.00
CV2,208,3.34,0.01,0.45,0.00
CV2,209,3.14,0.01,0.43,0.00
CV2,210,3.22,0.01,0.42,0.00
CV2,211,3.01,0.01,0.33,0.00
CV2,212,3.37,0.01,0.40,0.00
CV2,213,2.99,0.01,0.39,0.00
CV2,214,2.84,0.01,0.40,0.00
CV2,215,3.09,0.01,0.42,0.00
CV2,216,3.02,0.01,0.48,0.00
CV2,217,3.12,0.01,0.40,0.00
CV2,218,3.12,0.01,0.35,0.00
CV2,219,3.02,0.01,0.33,0.00
CV2,220,3.07,0.01,0.32,0.00
CV2,221,3.14,0.01,0.42,0.00
CV2,222,2.99,0.01,0.33,0.00
CV2,223,3.18,0.01,0.48,0.00
CV2,224,2.79,0.01,0.37,0.00
CV2,225,3.11,0.01,0.42,0.00
CV2,226,2.96,0.01,0.41,0.00
CV2,227,3.12,0.01,0.45,0.00
CV2,228,3.22,0.01,0.37,0.00
CV2,229,3.20,0.01,0.33,0.00
CV2,230,2.91,0.01,0.29,0.00
CV2,231,2.76,0.01,0.34,0.00
CV2,232,3.30,0.01,0.29,0.00
CV2,233,3.19,0.01,0.42,0.00
CV2,234,3.06,0.01,0.40,0.00
CV2,235,3.15,0.01,0.36,0.00
CV2,236,2.87,0.01,0.23,0.00
CV2,237,2.81,0.01,0.40,0.00
CV2,238,3.23,0.01,0.39,0.00
CV2,239,3.11,0.01,0.25,0.00
CV2,240,3.00,0.01,0.39,0.00
CV2,241,3.10,0.01,0.37,0.00
CV2,242,3.10,0.01,0.34,0.00
CV2,243,3.00,0.01,0.48,0.00
CV2,244,3.24,0.01,0.46,0.00
CV2,245,2.97,0.01,0.43,0.00
CV2,246,3.03,0.01,0.48,0.00
CV2,247,3.29,0.01,0.24,0.00
CV2,248,2.81,0.01,0.23,0.00
CV2,249,3.10,0.01,0.48,0.00
CV2,250,2.95,0.01,0.44,0.00
CV2,251,2.96,0.01,0.33,0.00
CV2,252,2.77,0.01,0.28,0.00
CV2,253,2.96,0.01,0.34,0.00
CV2,254,2.94,0.01,0.51,0.00
CV2,255,3.04,0.01,0.47,0.00
CV2,256,3.22,0.01,0.43,0.00
CV2,257,3.06,0.01,0.46,0.00
CV2,258,3.01,0.01,0.40,0.00
CV2,259,3.27,0.01,0.33,0.00
CV2,260,3.02,0.01,0.40,0.00
CV2,261,2.97,0.01,0.39,0.00
CV2,262,3.04,0.01,0.49,0.00
CV2,263,3.14,0.01,0.47,0.00
CV2,264,3.21,0.01,0.35,0.00
CV2,265,2.99,0.01,0.41,0.00
CV2,266,2.98,0.01,0.48,0.00
CV2,267,3.27,0.00,0.43,0.00
CV2,268,2.91,0.01,0.42,0.00
CV2,269,3.20,0.01,0.45,0.00
CV2,270,3.09,0.01,0.44,0.00
CV2,271,3.04,0.01,0.50,0.00
CV2,272,2.87,0.01,0.31,0.00
CV2,273,3.13,0.01,0.53,0.00
CV2,274,2.93,0.01,0.31,0.00
CV2,275,2.90,0.01,0.46,0.00
CV2,276,2.98,0.01,0.40,0.00
CV2,277,3.09,0.01,0.41,0.00
CV2,278,2.74,0.01,0.30,0.00
CV2,279,2.68,0.01,0.24,0.00
CV2,280,2.96,0.01,0.42,0.00
CV2,281,2.65,0.01,0.38,0.00
CV2,282,2.93,0.01,0.47,0.00
CV2,283,3.14,0.01,0.40,0.00
CV2,284,2.87,0.01,0.44,0.00
CV2,285,3.02,0.01,0.37,0.00
CV2,286,3.20,0.01,0.42,0.00
CV2,287,2.93,0.01,0.35,0.00
CV2,288,2.68,0.01,0.24,0.00
CV2,289,2.88,0.01,0.39,0.00
CV2,290,3.04,0.01,0.52,0.00
CV2,291,3.16,0.01,0.37,0.00
CV2,292,3.11,0.01,0.35,0.00
CV2,293,3.25,0.01,0.36,0.00
CV2,294,2.87,0.01,0.51,0.00
CV2,295,3.15,0.01,0.39,0.00
CV2,296,2.94,0.01,0.48,0.00
CV2,297,2.96,0.01,0.31,0.00
CV2,298,3.14,0.01,0.39,0.00
CV2,299,2.67,0.01,0.37,0.00
CV2,300,2.79,0.01,0.33,0.00
CV2,301,3.27,0.01,0.27,0.00
CV2,302,3.08,0.01,0.47,0.00
CV2,303,3.05,0.01,0.36,0.00
CV2,304,3.15,0.01,0.34,0.00
CV2,305,3.08,0.01,0.42,0.00
CV2,306,3.04,0.01,0.47,0.00
CV2,307,3.00,0.01,0.37,0.00
CV2,308,3.18,0.01,0.30,0.00
CV2,309,3.46,0.01,0.51,0.00
CV2,310,3.15,0.01,0.24,0.00
CV2,311,3.13,0.01,0.42,0.00
CV2,312,3.13,0.01,0.39,0.00
CV2,313,2.81,0.01,0.37,0.00
CV2,314,3.26,0.01,0.54,0.00
CV2,315,3.06,0.01,0.27,0.00
CV2,316,2.90,0.01,0.39,0.00
CV2,317,2.92,0.01,0.45,0.00
CV2,318,3.14,0.01,0.39,0.00
CV2,319,3.22,0.01,0.32,0.00
CV2,320,2.77,0.01,0.31,0.00
CV2,321,3.22,0.01,0.34,0.00
CV2,322,2.81,0.01,0.38,0.00
CV2,323,2.85,0.01,0.50,0.00
CV2,324,3.10,0.01,0.32,0.00
CV2,325,3.15,0.01,0.35,0.00
CV2,326,3.03,0.01,0.31,0.00
CV2,327,2.93,0.01,0.39,0.00
CV2,328,3.15,0.01,0.49,0.00
CV2,329,2.88,0.01,0.47,0.00
CV2,330,3.25,0.01,0.47,0.00
CV2,331,3.11,0.01,0.48,0.00
CV2,332,3.23,0.01,0.29,0.00
CV2,333,3.05,0.01,0.39,0.00
CV2,334,2.94,0.01,0.44,0.00
CV2,335,2.88,0.01,0.31,0.00
CV2,336,2.79,0.01,0.41,0.00
CV2,337,2.93,0.01,0.21,0.00
CV2,338,2.71,0.01,0.20,0.00
CV2,339,3.02,0.01,0.42,0.00
CV2,340,2.98,0.01,0.48,0.00
CV2,341,3.03,0.01,0.30,0.00
CV2,342,3.23,0.01,0.41,0.00
CV2,343,2.96,0.01,0.34,0.00
CV2,344,3.01,0.01,0.29,0.00
CV2,345,3.07,0.01,0.31,0.00
CV2,346,3.00,0.01,0.53,0.00
CV2,347,3.10,0.01,0.58,0.00
CV2,348,3.04,0.01,0.49,0.00
CV2,349,2.99,0.01,0.36,0.00
CV2,350,2.83,0.01,0.37,0.00
CV2,351,2.76,0.01,0.45,0.00
CV2,352,2.98,0.01,0.31,0.00
CV2,353,2.93,0.01,0.26,0.00
CV2,354,2.97,0.01,0.25,0.00
CV2,355,2.93,0.01,0.39,0.00
CV2,356,3.04,0.01,0.36,0.00
CV2,357,3.10,0.01,0.43,0.00
CV2,358,2.92,0.01,0.37,0.00
CV2,359,2.93,0.01,0.36,0.00
CV2,360,2.90,0.01,0.42,0.00
CV2,361,3.04,0.01,0.24,0.00
CV2,362,2.71,0.01,0.42,0.00
CV2,363,3.12,0.01,0.31,0.00
CV2,364,2.77,0.01,0.36,0.00
CV2,365,3.04,0.01,0.37,0.00
CV2,366,2.83,0.01,0.32,0.00
CV2,367,3.18,0.01,0.34,0.00
CV2,368,2.87,0.01,0.35,0.00
CV2,369,3.02,0.01,0.34,0.00
CV2,370,3.06,0.01,0.27,0.00
CV2,371,2.90,0.01,0.63,0.01
CV2,372,2.92,0.01,0.40,0.00
CV2,373,2.86,0.01,0.36,0.00
CV2,374,3.08,0.01,0.31,0.00
CV2,375,3.29,0.01,0.34,0.00
CV2,376,2.79,0.01,0.40,0.00
CV2,377,3.16,0.01,0.38,0.00
CV2,378,3.30,0.00,0.29,0.00
CV2,379,2.91,0.01,0.35,0.00
CV2,380,2.99,0.01,0.34,0.00
CV2,381,3.01,0.01,0.31,0.00
CV2,382,2.98,0.01,0.24,0.00
CV2,383,3.32,0.01,0.33,0.00
CV2,384,3.10,0.01,0.41,0.00
CV2,385,2.85,0.01,0.38,0.00
CV2,386,2.92,0.01,0.40,0.00
CV2,387,3.09,0.01,0.32,0.00
CV2,388,2.98,0.01,0.27,0.00
CV2,389,2.86,0.01,0.44,0.00
CV2,390,3.29,0.01,0.30,0.00
CV2,391,2.67,0.01,0.37,0.00
CV2,392,2.97,0.01,0.41,0.00
CV2,393,2.97,0.01,0.31,0.00
CV2,394,2.96,0.01,0.36,0.00
CV2,395,3.13,0.01,0.44,0.00
CV2,396,2.97,0.01,0.52,0.00
CV2,397,3.13,0.01,0.37,0.00
CV2,398,2.82,0.01,0.48,0.00
CV2,399,3.01,0.01,0.41,0.00
CV2,400,2.96,0.01,0.32,0.00
CV2,401,3.30,0.01,0.36,0.00
CV2,402,2.96,0.01,0.34,0.00
CV2,403,2.84,0.01,0.27,0.00
CV2,404,2.95,0.01,0.28,0.00
CV2,405,3.09,0.01,0.42,0.00
CV2,406,2.83,0.01,0.45,0.00
CV2,407,3.13,0.01,0.34,0.00
CV2,408,2.81,0.01,0.28,0.00
CV2,409,2.94,0.01,0.32,0.00
CV2,410,2.70,0.01,0.34,0.00
CV2,411,3.09,0.01,0.34,0.00
CV2,412,3.14,0.01,0.40,0.00
CV2,413,2.91,0.01,0.39,0.00
CV2,414,2.71,0.01,0.30,0.00
CV2,415,3.16,0.01,0.20,0.00
CV2,416,3.02,0.01,0.51,0.00
CV2,417,3.30,0.01,0.57,0.00
CV2,418,3.00,0.01,0.45,0.00
CV2,419,3.08,0.01,0.33,0.00
CV2,420,3.07,0.01,0.33,0.00
CV2,421,2.76,0.01,0.50,0.00
CV2,422,3.01,0.01,0.44,0.00
CV2,423,2.92,0.01,0.36,0.00
CV2,424,2.85,0.01,0.46,0.00
CV2,425,3.16,0.01,0.30,0.00
CV2,426,3.05,0.01,0.42,0.00
CV2,427,3.15,0.01,0.37,0.00
CV2,428,2.82,0.01,0.47,0.00
CV2,429,3.13,0.01,0.53,0.00
CV2,430,3.00,0.01,0.45,0.00
CV2,431,3.06,0.01,0.34,0.00
CV2,432,2.94,0.01,0.41,0.00
CV2,433,2.82,0.01,0.44,0.00
CV2,434,3.14,0.01,0.41,0.00
CV2,435,3.03,0.01,0.35,0.00
CV2,436,2.80,0.01,0.52,0.00
CV2,437,2.96,0.01,0.45,0.00
CV2,438,3.38,0.01,0.35,0.00
CV2,439,2.99,0.01,0.40,0.00
CV2,440,2.95,0.01,0.44,0.00
CV2,441,3.20,0.01,0.41,0.00
CV2,442,2.87,0.01,0.46,0.00
CV2,443,2.87,0.01,0.38,0.00
CV2,444,3.20,0.01,0.37,0.00
CV2,445,2.75,0.01,0.47,0.00
CV2,446,3.02,0.01,0.51,0.00
CV2,447,2.88,0.01,0.33,0.00
CV2,448,2.97,0.01,0.40,0.00
CV2,449,3.14,0.01,0.66,0.01
CV2,450,2.83,0.01,0.41,0.00
CV2,451,2.78,0.01,0.36,0.00
CV2,452,2.91,0.01,0.45,0.00
CV2,453,3.30,0.01,0.44,0.00
CV2,454,3.12,0.01,0.40,0.00
CV2,455,2.71,0.01,0.41,0.00
CV2,456,3.14,0.01,0.53,0.00
CV2,457,2.94,0.01,0.39,0.00
CV2,458,3.14,0.01,0.43,0.00
CV2,459,2.85,0.01,0.33,0.00
CV2,460,3.06,0.01,0.33,0.00
CV2,461,3.34,0.01,0.49,0.00
CV2,462,3.00,0.01,0.45,0.00
CV2,463,2.78,0.01,0.31,0.00
CV2,464,2.78,0.01,0.31,0.00
CV2,465,2.95,0.01,0.33,0.00
CV2,466,2.89,0.01,0.31,0.00
CV2,467,2.98,0.01,0.38,0.00
CV2,468,3.01,0.01,0.32,0.00
CV2,469,2.83,0.01,0.47,0.00
CV2,470,2.95,0.01,0.43,0.00
CV2,471,3.11,0.01,0.44,0.00
CV2,472,2.86,0.01,0.42,0.00
CV2,473,3.08,0.01,0.27,0.00
CV2,474,3.48,0.01,0.54,0.00
CV2,475,3.05,0.01,0.53,0.00
CV2,476,2.81,0.01,0.38,0.00
CV2,477,2.83,0.01,0.37,0.00
CV2,478,3.13,0.01,0.49,0.00
CV2,479,3.13,0.01,0.45,0.00
CV2,480,3.04,0.01,0.38,0.00
CV2,481,2.91,0.01,0.42,0.00
CV2,482,3.07,0.01,0.33,0.00
CV2,483,2.95,0.01,0.32,0.00
CV2,484,2.78,0.01,0.39,0.00
CV2,485,3.03,0.01,0.29,0.00
CV2,486,3.24,0.01,0.49,0.00
CV2,487,2.89,0.01,0.41,0.00
CV2,488,3.00,0.01,0.45,0.00
CV2,489,2.96,0.01,0.43,0.00
CV2,490,2.89,0.01,0.47,0.00
CV2,491,2.97,0.01,0.41,0.00
CV2,492,2.88,0.01,0.35,0.00
CV2,493,3.11,0.01,0.36,0.00
CV2,494,3.10,0.01,0.50,0.00
CV2,495,2.89,0.01,0.47,0.00
CV2,496,2.97,0.01,0.37,0.00
CV2,497,3.11,0.01,0.29,0.00
CV2,498,3.04,0.01,0.46,0.00
CV2,499,2.75,0.01,0.50,0.00
CV2,500,3.03,0.01,0.50,0.00
CV3,1,2.33,0.01,0.45,0.00
CV3,2,2.26,0.01,0.42,0.00
CV3,3,2.09,0.01,0.36,0.00
CV3,4,2.33,0.01,0.36,0.00
CV3,5,2.17,0.01,0.59,0.00
CV3,6,2.20,0.01,0.56,0.00
CV3,7,2.17,0.01,0.56,0.00
CV3,8,2.35,0.01,0.38,0.00
CV3,9,2.60,0.01,0.42,0.00
CV3,10,2.34,0.01,0.39,0.00
CV3,11,2.38,0.01,0.43,0.00
CV3,12,2.30,0.01,0.50,0.00
CV3,13,2.27,0.01,0.46,0.00
CV3,14,2.26,0.01,0.43,0.00
CV3,15,2.19,0.01,0.60,0.00
CV3,16,2.38,0.01,0.40,0.00
CV3,17,2.25,0.01,0.44,0.00
CV3,18,2.27,0.01,0.48,0.00
CV3,19,2.19,0.01,0.46,0.00
CV3,20,2.24,0.01,0.45,0.00
CV3,21,2.57,0.01,0.54,0.00
CV3,22,2.50,0.01,0.42,0.00
CV3,23,2.43,0.01,0.39,0.00
CV3,24,2.24,0.01,0.32,0.00
CV3,25,2.29,0.01,0.56,0.00
CV3,26,2.26,0.01,0.23,0.00
CV3,27,2.16,0.01,0.47,0.00
CV3,28,1.99,0.01,0.39,0.00
CV3,29,2.32,0.01,0.37,0.00
CV3,30,2.55,0.01,0.40,0.00
CV3,31,2.56,0.01,0.44,0.00
CV3,32,2.19,0.01,0.34,0.00
CV3,33,2.24,0.01,0.37,0.00
CV3,34,2.24,0.01,0.47,0.00
CV3,35,2.51,0.01,0.47,0.00
CV3,36,2.13,0.01,0.51,0.00
CV3,37,2.30,0.01,0.36,0.00
CV3,38,2.24,0.01,0.29,0.00
CV3,39,2.24,0.01,0.46,0.00
CV3,40,2.34,0.01,0.41,0.00
CV3,41,2.36,0.01,0.55,0.00
CV3,42,2.25,0.01,0.50,0.00
CV3,43,2.36,0.01,0.42,0.00
CV3,44,2.35,0.01,0.44,0.00
CV3,45,2.33,0.01,0.39,0.00
CV3,46,2.17,0.01,0.34,0.00
CV3,47,2.12,0.01,0.34,0.00
CV3,48,2.24,0.01,0.45,0.00
CV3,49,2.33,0.01,0.54,0.00
CV3,50,2.11,0.01,0.52,0.00
CV3,51,2.14,0.01,0.42,0.00
CV3,52,2.33,0.01,0.44,0.00
CV3,53,2.35,0.01,0.42,0.00
CV3,54,2.28,0.01,0.51,0.00
CV3,55,2.33,0.01,0.26,0.00
CV3,56,2.38,0.01,0.27,0.00
CV3,57,2.38,0.01,0.46,0.00
CV3,58,2.17,0.01,0.41,0.00
CV3,59,2.14,0.01,0.65,0.01
CV3,60,2.60,0.01,0.43,0.00
CV3,61,1.98,0.01,0.57,0.00
CV3,62,2.15,0.01,0.46,0.00
CV3,63,2.12,0.01,0.31,0.00
CV3,64,2.26,0.01,0.56,0.00
CV3,65,2.45,0.01,0.48,0.00
CV3,66,2.23,0.01,0.38,0.00
CV3,67,2.43,0.01,0.49,0.00
CV3,68,2.49,0.01,0.25,0.00
CV3,69,2.65,0.01,0.31,0.00
CV3,70,2.53,0.01,0.52,0.00
CV3,71,2.53,0.01,0.23,0.00
CV3,72,2.29,0.01,0.25,0.00
CV3,73,2.21,0.01,0.48,0.00
CV3,74,2.39,0.01,0.35,0.00
CV3,75,2.28,0.01,0.56,0.00
CV3,76,2.34,0.01,0.52,0.00
CV3,77,2.47,0.01,0.27,0.00
CV3,78,2.18,0.01,0.36,0.00
CV3,79,2.10,0.01,0.33,0.00
CV3,80,2.32,0.01,0.38,0.00
CV3,81,2.54,0.01,0.49,0.00
CV3,82,2.22,0.01,0.40,0.00
CV3,83,2.17,0.01,0.34,0.00
CV3,84,2.32,0.01,0.45,0.00
CV3,85,2.25,0.01,0.44,0.00
CV3,86,2.24,0.01,0.33,0.00
CV3,87,2.30,0.01,0.33,0.00
CV3,88,2.39,0.01,0.29,0.00
CV3,89,2.44,0.01,0.35,0.00
CV3,90,2.26,0.01,0.64,0.01
CV3,91,2.30,0.01,0.51,0.00
CV3,92,2.21,0.01,0.42,0.00
CV3,93,2.29,0.01,0.30,0.00
CV3,94,2.39,0.01,0.64,0.01
CV3,95,2.67,0.01,0.29,0.00
CV3,96,2.46,0.01,0.42,0.00
CV3,97,2.31,0.01,0.62,0.01
CV3,98,2.17,0.01,0.52,0.00
CV3,99,2.13,0.01,0.49,0.00
CV3,100,2.37,0.01,0.28,0.00
CV3,101,2.26,0.01,0.50,0.00
CV3,102,2.48,0.01,0.36,0.00
CV3,103,2.47,0.01,0.28,0.00
CV3,104,2.40,0.01,0.43,0.00
CV3,105,2.29,0.01,0.41,0.00
CV3,106,2.29,0.01,0.43,0.00
CV3,107,2.24,0.01,0.42,0.00
CV3,108,2.35,0.01,0.41,0.00
CV3,109,2.16,0.01,0.50,0.00
CV3,110,2.20,0.01,0.47,0.00
CV3,111,2.45,0.01,0.42,0.00
CV3,112,2.37,0.01,0.42,0.00
CV3,113,2.27,0.01,0.26,0.00
CV3,114,2.16,0.01,0.36,0.00
CV3,115,2.24,0.01,0.47,0.00
CV3,116,2.40,0.01,0.42,0.00
CV3,117,2.51,0.01,0.37,0.00
CV3,118,2.39,0.01,0.47,0.00
CV3,119,2.16,0.01,0.49,0.00
CV3,120,2.32,0.01,0.38,0.00
CV3,121,2.36,0.01,0.28,0.00
CV3,122,2.38,0.01,0.27,0.00
CV3,123,2.43,0.01,0.23,0.00
CV3,124,2.37,0.01,0.32,0.00
CV3,125,2.48,0.01,0.47,0.00
CV3,126,2.52,0.01,0.31,0.00
CV3,127,2.48,0.01,0.36,0.00
CV3,128,2.40,0.01,0.33,0.00
CV3,129,2.15,0.01,0.41,0.00
CV3,130,2.24,0.01,0.56,0.00
CV3,131,2.30,0.01,0.54,0.00
CV3,132,2.36,0.01,0.52,0.00
CV3,133,2.55,0.01,0.61,0.01
CV3,134,2.37,0.01,0.38,0.00
CV3,135,2.17,0.01,0.46,0.00
CV3,136,2.41,0.01,0.50,0.00
CV3,137,2.36,0.01,0.41,0.00
CV3,138,2.29,0.01,0.40,0.00
CV3,139,2.20,0.01,0.68,0.01
CV3,140,2.55,0.01,0.43,0.00
CV3,141,2.32,0.01,0.32,0.00
CV3,142,2.26,0.01,0.52,0.00
CV3,143,2.43,0.01,0.32,0.00
CV3,144,2.16,0.01,0.45,0.00
CV3,145,2.10,0.01,0.50,0.00
CV3,146,2.01,0.01,0.41,0.00
CV3,147,2.12,0.01,0.37,0.00
CV3,148,2.19,0.01,0.52,0.00
CV3,149,2.58,0.01,0.44,0.00
CV3,150,2.24,0.01,0.48,0.00
CV3,151,2.32,0.01,0.48,0.00
CV3,152,2.46,0.01,0.21,0.00
CV3,153,2.41,0.01,0.55,0.00
CV3,154,2.06,0.01,0.48,0.00
CV3,155,2.30,0.01,0.37,0.00
CV3,156,2.38,0.01,0.27,0.00
CV3,157,2.59,0.01,0.44,0.00
CV3,158,2.44,0.01,0.53,0.00
CV3,159,2.37,0.01,0.37,0.00
CV3,160,2.63,0.01,0.31,0.00
CV3,161,2.23,0.01,0.58,0.00
CV3,162,2.32,0.01,0.52,0.00
CV3,163,2.42,0.01,0.44,0.00
CV3,164,2.25,0.01,0.51,0.00
CV3,165,2.28,0.01,0.45,0.00
CV3,166,2.39,0.01,0.45,0.00
CV3,167,2.24,0.01,0.47,0.00
CV3,168,2.33,0.01,0.15,0.00
CV3,169,2.40,0.01,0.49,0.00
CV3,170,2.23,0.01,0.46,0.00
CV3,171,2.39,0.01,0.37,0.00
CV3,172,2.51,0.01,0.27,0.00
CV3,173,2.11,0.01,0.43,0.00
CV3,174,2.43,0.01,0.36,0.00
CV3,175,2.47,0.01,0.45,0.00
CV3,176,2.18,0.01,0.45,0.00
CV3,177,2.31,0.01,0.46,0.00
CV3,178,2.08,0.01,0.54,0.00
CV3,179,2.46,0.01,0.40,0.00
CV3,180,2.47,0.01,0.46,0.00
CV3,181,2.26,0.01,0.38,0.00
CV3,182,2.53,0.01,0.51,0.00
CV3,183,2.08,0.01,0.50,0.00
CV3,184,2.47,0.01,0.47,0.00
CV3,185,2.26,0.01,0.54,0.00
CV3,186,2.31,0.01,0.60,0.00
CV3,187,2.07,0.01,0.61,0.01
CV3,188,2.48,0.01,0.46,0.00
CV3,189,2.17,0.01,0.52,0.00
CV3,190,2.31,0.01,0.60,0.00
CV3,191,2.34,0.01,0.59,0.00
CV3,192,2.43,0.01,0.43,0.00
CV3,193,2.28,0.01,0.39,0.00
CV3,194,2.17,0.01,0.46,0.00
CV3,195,2.36,0.01,0.27,0.00
CV3,196,2.23,0.01,0.52,0.00
CV3,197,2.52,0.01,0.36,0.00
CV3,198,2.31,0.01,0.38,0.00
CV3,199,2.11,0.01,0.55,0.00
CV3,200,2.39,0.01,0.43,0.00
CV3,201,2.51,0.01,0.50,0.00
CV3,202,2.38,0.01,0.44,0.00
CV3,203,2.21,0.01,0.44,0.00
CV3,204,2.36,0.01,0.54,0.00
CV3,205,2.38,0.01,0.20,0.00
CV3,206,2.40,0.01,0.25,0.00
CV3,207,2.43,0.01,0.27,0.00
CV3,208,2.42,0.01,0.38,0.00
CV3,209,2.23,0.01,0.24,0.00
CV3,210,2.11,0.01,0.52,0.00
CV3,211,2.28,0.01,0.36,0.00
CV3,212,2.28,0.01,0.36,0.00
CV3,213,2.36,0.01,0.35,0.00
CV3,214,2.32,0.01,0.40,0.00
CV3,215,2.59,0.01,0.33,0.00
CV3,216,2.49,0.01,0.35,0.00
CV3,217,2.16,0.01,0.62,0.01
CV3,218,2.19,0.01,0.46,0.00
CV3,219,2.39,0.01,0.43,0.00
CV3,220,2.36,0.01,0.47,0.00
CV3,221,1.98,0.01,0.28,0.00
CV3,222,2.31,0.01,0.36,0.00
CV3,223,2.26,0.01,0.52,0.00
CV3,224,2.51,0.01,0.27,0.00
CV3,225,2.52,0.01,0.43,0.00
CV3,226,2.36,0.01,0.34,0.00
CV3,227,2.21,0.01,0.32,0.00
CV3,228,2.26,0.01,0.39,0.00
CV3,229,2.44,0.01,0.24,0.00
CV3,230,2.03,0.01,0.48,0.00
CV3,231,2.52,0.01,0.46,0.00
CV3,232,2.44,0.01,0.44,0.00
CV3,233,2.14,0.01,0.62,0.01
CV3,234,2.41,0.01,0.40,0.00
CV3,235,2.38,0.01,0.64,0.01
CV3,236,2.32,0.01,0.60,0.00
CV3,237,2.32,0.01,0.51,0.00
CV3,238,2.50,0.01,0.48,0.00
CV3,239,2.43,0.01,0.41,0.00
CV3,240,2.27,0.01,0.60,0.00
CV3,241,2.18,0.01,0.22,0.00
CV3,242,2.40,0.01,0.31,0.00
CV3,243,2.40,0.01,0.36,0.00
CV3,244,2.39,0.01,0.27,0.00
CV3,245,2.25,0.01,0.40,0.00
CV3,246,2.35,0.01,0.38,0.00
CV3,247,2.34,0.01,0.34,0.00
CV3,248,2.30,0.01,0.46,0.00
CV3,249,2.28,0.01,0.44,0.00
CV3,250,2.18,0.01,0.37,0.00
CV3,251,2.53,0.01,0.48,0.00
CV3,252,2.32,0.01,0.44,0.00
CV3,253,2.40,0.01,0.33,0.00
CV3,254,2.31,0.01,0.26,0.00
CV3,255,2.43,0.01,0.52,0.00
CV3,256,2.21,0.01,0.50,0.00
CV3,257,2.32,0.01,0.36,0.00
CV3,258,2.33,0.01,0.35,0.00
CV3,259,2.37,0.01,0.31,0.00
CV3,260,2.46,0.01,0.31,0.00
CV3,261,2.30,0.01,0.36,0.00
CV3,262,2.31,0.01,0.55,0.00
CV3,263,2.14,0.01,0.41,0.00
CV3,264,2.57,0.01,0.40,0.00
CV3,265,2.32,0.01,0.45,0.00
CV3,266,2.37,0.01,0.36,0.00
